##Title: Слоўнік матэматычнае тэрмінолёгіі (проект) (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Слоўнік матэматычнае тэрмінолёгіі (проект)</b>. Менск: Інбелкульт, 1927.</p>
</div>
<div>
	<p class="spoiler">Ад Галоўнае Тэрмінолёгічнае Камісіі</p>
	<p>Апрацоўка матэматычнае тэрмінолёгіі была распачата яшчэ ў 1921 г. Матэматычнаю Сэкцыяю Беларускае Навукова-Тэрмінолёгічнае Камісіі. Вынікам гэтае работы зьявіўся проект тэрмінолёгіі элемэнтарнае матэматыкі, які быў надрукованы ў канцы 1922 году.</p>
	<p>Непаўната гэтага проекту, няўдаласьць і штучнасьць некаторых нэолёгізмаў, філёлёгічныя няправільнасьці іншых тэрмінаў, а таксама аддаленасьць апошніх ад інтэрнацыянальнае матэматычнае мовы − выклікалі адпаведную крытыку (на Фіз.-Матэматычнай Конфэрэнцыі ў 1926 г., на Настаўніцкім зьезьдзе ў тым-жа годзе, а таксама ў друку). Гэта прымусіла Галоўную Тэрмінолёгічную Камісію злажыць у 1926 г. спэцыяльную Матэматычную Камісію для перагляду старой тэрмінолёгіі і для апрацоўкі тэрмінолёгіі вышэйшае матэматыкі. У склад гэтае Камісіі Прыродазнаўчаю Сэкцыяю ІБК былі запрошаны: проф. А. Міхайлоўскі, Я. Пятосін, Ул. Дыдырка, К. Гадыцкі-Цьвірка, Ант. Лёсік, Ад. Міцкевіч і А. Круталевіч (апошні ў якасьці старшыні і ўкладчыка пачатковага проекту тэрмінолёгіі).</p>
	<p>Зложаны гэтаю Камісіяю проект тэрмінолёгіі ў ліку 3.551 тэрмінаў быў разгледжаны вясною 1927 г. Галоўнаю Тэрмінолёгічнаю Камісіяю (у складзе старшыні Камісіі Яз. Лёсіка, яе членаў − Ів. Луцэвіча (Янка Купала), Кан. Міцкевіча (Якуб Колас), Л. Цьвяткова і сэкратара А. Гурла) і зацьверджаны з некаторымі зьменамі і папраўкамі для друку ў форме слоўніку матэматычнае тэрмінолёгіі ў дзьвюх мовах − расійскай і беларускай.</p>
	<p>Слоўнік гэты, як і папярэднія тэрмінолёгіі, выходзіць у сьвет, як <i>проект</i>, які ў далейшым можа зьмяняцца, калі запатрабуе таго навуковы досьлед ці пэдагогічная практыка.</p>
	<p>Выпускаючы ў сьвет кожную тэрмінолёгію, Г.-Тэрмінолёгічная Камісія і далей зьбірае тэрмінолёгічны матар’ял − народны і літаратурны, − каб у наступных выданьнях пашыраць і выпраўляць тое, што, на падставе новага матар’ялу, будзе вымагаць належных выправак і дадаткаў.</p>
	<p>Даць дакладную тэрмінолёгію тае ці іншае галіны навукі, якая-б у поўнай меры адпавядала навуковасьці і здавальняла-б пэдагогічную і штодзённую практыку, − справа нялёгкая, і Камісія лічыць, што ўдасканаліць сваю работу яна зможа толькі ў тым выпадку, калі на помач ёй прыдзе актыўная работа ўсіх зацікаўленых асоб і ўстаноў. Вось чаму Камісія зварачаецца да іх з просьбаю дапамагчы ёй у цяжкай справе распрацаваньня беларускае навуковае тэрмінолёгіі.</p>
	<p>Сабраны тэрмінолёгічны матар‘ял з тае ці іншае галіны веды або ўвагі, папраўкі і дадаткі да тае ці іншае надрукаванае тэрмінолёгіі Камісія просіць надсылаць у Інбелкульт (Менск, Революцыйная вул., 21) на імя Галоўнае Тэрмінолёгічнае Камісіі. Корэспондэнцыя на імя Інбелкульту паштовай аплаце не падлягае.</p>
	<p> </p>
	<p><i>Галоўная Тэрмінолёгічная Камісія.</i></p>
	<p>Менск, 15/VI−27 г.</p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be

абак	аба´к
абсолютно малый	абсолю´тна малы´
абсолютно сопряженный	абсолю´тна спрэ´жаны
абсолютно сходящийся	абсолю´тна зьбе´жны
абсолютный	абсолю´тны
абстрактный	абстра´ктны
абсцисса	абцы´са
автоморфизм	аўтаморфі´зм
автоморфный	аўтамо´рфны
азигетический	азыгеты´чны
азигетичность	азыгеты´чнасьць
аксиома	аксыё´ма
аксиома арифметическая	аксыё´ма арытмэты´чная
аксиома монотонии	аксыё´ма монатоні´і
аксиома однозначности	аксыё´ма адназна´чнасьці
аксиома плоскости	аксыё´ма ро´ўніцы
аксиома пространства	аксыё´ма прасто´ры
аксиоматика	аксыёма´тыка
аксонометрия	аксонамэтры´я
актуальный	актуа´льны
алгебра	а´льгебра
алгебра формальная	а´льгебра форма´льная
алгебраически	альгебры´чна
алгебраический	альгебры´чны
алгоритм	альгоры´тм
альтернирующий	альтэрнаты´ўны
амплитуда	ампліту´да
анализ	ана´ліз
анализ алгебраический	ана´ліз альгебры´чны
анализ бесконечно малых	ана´ліз бескане´чна малы´х
анализ векториальный	ана´ліз вэктарыя´льны
анализ Диофантов	ана´ліз Дыофа´нтаў
анализ неопределенный	ана´ліз неазна´чаны
анализ положения	ана´ліз палажэ´ньня
анализ прикладной	ана´ліз прыклада´льны
анализ чистый	ана´ліз чы´сты
анализировать	аналізава´ць
аналитический	аналіты´чны
аналогия	аналё´гія
аналогии Неперовы	аналё´гіі Нэ´пэравыя
ангармонический	ангармоні´чны
ангармоничность	ангармані´чнасьць
аномалия	анома´лія
аномалия эксцентрическая	анома´лія эксцэнтры´чная
ансамбль	анса´мбль
антиинволюция	антыінволю´цыя
антилогарифм	антылёгары´тм
антипараллельный	антыпарале´льны
антипроективность	антыпроекты´ўнасьць
аполярность	аполя´рнасьць
аполярный	аполя´рны
апофема	апотэ´ма
ар	ар
аргумент	аргумэ´нт
аргумент сложный	аргумэ´нт склада´ны
арифметизация	арытмэтыза´цыя
арифметика	арытмэ´тыка
арифметика общая	арытмэ´тыка агу´льная
арифметически	арытмэты´чна
арифметический	арытмэты´чны
асимметрический	асымэтры´чны
асимметрия	асымэ´трыя
асимптота	асымпто´та
асимптотический	асымптоты´чны
ассоциативный	асоцыяты´ўны
астроида	астро´іда
аффикс	афі´кс
аффинность	афі´ннасьць
аффинный	афі´нны
базироваться	базава´цца
базис группы	ба´за гру´пы
барицентрический	барыцэнтры´чны
берег	бе´раг
бесконечно большой	бескане´чна вялі´кі
бесконечно далекий	бескане´чна далё´кі
бесконечно малый	бескане´чна малы´
бесконечно отдаленный	бескане´чна адда´лены
бесконечность	бескане´чнасьць
бесконечность актуальная	бескане´чнасьць актуа´льная
бесконечный	бескане´чны
беспредельный	бязьме´жны
биквадратичный	біквадраты´чны
биквадратный	біквадра´тны
билинейный	біліне´йны
бинарный	біна´рны
бином	біно´м
бином Ньютона	біно´м Ньюто´наў
биномиальный	біно´мны
бинормаль	бінорма´ль
биометрический	біямэтры´чны
бипланарный	біпляна´рны
биполярный	біполя´рны
бирациональный	бірацыяна´льны
биссектриса	бісэктры´са
бициклический	біцыклі´чны
бициркулярный	біцыркуля´рны
боковой	бо´чны
брать в скобки	браць у ду´жкі
буква	лі´тара
буква главная (многочлена)	лі´тара гало´ўная (многачле´на)
буквенный	лі´тарны
быть равным	быць ро´ўным
быть сравнимым	быць параўна´льным
вариационный	варыяцы´йны
вариационное исчисление	гл. исчисление
вдоль	уздо´ўж
везде плотный	усю´ды шчы´льны
вектор	вэ´ктар
векториальный	вэктарыя´льны
величина	велічыня´
величина абсолютная	велічыня´ абсолю´тная
величина бесконечно большая	велічыня´ бескане´чна вялі´кая
величина бесконечно малая	велічыня´ бескане´чна мала´я
величина геометрическая	велічыня´ геомэтры´чная
величина действительная	велічыня´ рэчаі´стая
величина дробная	велічыня´ дро´бавая
величина иррациональная	велічыня´ ірацыяна´льная
величина искомая	велічыня´ шука´ная
величина конгредиентная	велічыня´ конгрэдые´нтная
величина конечная	велічыня´ кане´чная
величина контрагредиентная	велічыня´ контрагрэдые´нтная
величина мнимая	велічыня´ ўя´ўная
величина непрерывная	велічыня´ неперары´ўная
величина несоизмеримая	велічыня´ нясупольнаме´рная
величина однородная	велічыня´ аднаро´дная
величина одноименная	велічыня´ аднайме´нная
величина отрицательная	велічыня´ адмо´ўная
величина положительная	велічыня´ дада´тная
величина постоянная	велічыня´ ста´лая
величина прерывная	велічыня´ перары´ўная
величина пространственная	велічыня´ прасто´равая
величина рациональная	велічыня´ рацыяна´льная
величина соизмеримая	велічыня´ супольнаме´рная
величина трансцендентная	велічыня´ трансцэндэ´нтная
величина числовая	велічыня´ лі´кавая
верзор	вэ´рзар
верность	праві´льнасьць
вероятно	праўдападо´бна
вероятность	праўдападо´бнасьць
вероятность абсолютная	праўдападо´бнасьць абсолю´тная
вероятность геометричеcкая	праўдападо´бнасьць геомэтры´чная
вероятность математичеcкая	праўдападо´бнасьць матэматы´чная
вероятность относительная	праўдападо´бнасьць адно´сная
вероятность полная	праўдападо´бнасьць по´ўная
вероятность противоположная	праўдападо´бнасьць проціле´жная
вероятность сложная	праўдападо´бнасьць склада´ная
вероятность статистичеcкая	праўдападо´бнасьць статысты´чная
вероятность частичная	праўдападо´бнасьць часьці´нная
вероятный	праўдападо´бны
вертикально	вэртыка´льна
вертикальный	вэртыка´льны
верхний	ве´рхні
вершина	вяршыня´
вершина многоугольника	вяршыня´ многаку´тніка
вершина пирамиды	вяршыня´ пірамі´ды
вершина свободная	вяршыня´ вол´ьная
вершина треугольника	вяршыня´ трыку´тніка
вершина угла	вяршыня´ кута´
вес	вага´
ветвь	галіна´
ветвь главная	галіна´ гало´ўная
ветвь кривой	галіна´ крыво´й
ветвь полная	галіна´ по´ўная
ветвь функции	галіна´ фу´нкцыі
вещественный	рэчаі´сты
взаимно перпендикулярные	узае´мна пэрпэндыкуля´рныя
взаимно простой	узае´мны про´сты
взаимность	узае´мнасьць
взаимный	узае´мны
взнос	укла´дка
взятый (произвольно)	узя´ты (адво´льна)
взять множитель перед знаком корня	узя´ць мно´жнік пе´рад зна´кам ко´раня
вид	від (лёгічная катэгорыя), вы´гляд
вид нормальный	вы´гляд норма´льны
вид овальный	вы´гляд ова´льны
вид простой	вы´гляд про´сты
вид сопряженный	від спрэ´жаны
вид эллиптический	вы´гляд эліпты´чны
вне	па´-за
вне прямой	па´-за про´стай
внешний	знадво´рны
внутри	унутры´
внутренний	унутраны´
вогнутость	угну´тасьць
вогнутый	угну´ты
возведенный в степень	узьве´дзены ў ступе´нь
возврат	зваро´т
возвратный	зваро´тны
возвышать в квадрат	узво´дзіць у квадра´т
возвышать в степень	узво´дзіць у ступе´нь, ступенява´ць
возвышение в третью степень	узьвядзе´ньне ў трэ´цюю ступе´нь
возвышенный в степень	узьве´дзены ў ступе´нь
возрастание	узраста´ньне
возрастать	узраста´ць
возрастать бесконечно	узраста´ць бескане´чна
возрастающий	узраста´льны
волнообразный	хвалі´сты
вопрос арифметический	пыта´ньне арытмэты´чнае
восстановлять перпендикуляр	узво´дзіць пэрпэндыкуля´р
восьмигранник	васьмігра´ньнік
восьмигранный	васьмігра´нны
восьмиугольник	васьміку´тнік
восьмиугольный	васьміку´тны
вписанный	упі´саны
вписывать	упі´сваць
вращательный	вярча´льны
вращать	вярце´ць
вращаться	вярце´цца
вращение	вярчэ´ньне
вращение вокруг точки	вярчэ´ньне наво´кала пу´нкту
вращение треугольника	вярчэ´ньне трыку´тніка
время	час
вспомогательный	дапамо´жны
вторичный	паўто´рны
второй	другі´
второстепенный	другара´дны
выбранный (произвольно)	вы´браны (адво´льна)
вывод	вы´вад
вывод формулы	вы´вад фо´рмулы
выводить (формулу)	выво´дзіць (фо´рмулу)
выгнутость	вы´гнутасьць
выгнутый	вы´гнуты
выделять	выдзяля´ць
выкладка	вы´кладка
вынести за скобки	вы´несьці за ду´жкі
выпрямить	вы´прастаць
выпрямление дуги	выпро´стваньне дугі´
выпрямление кривой	выпро´стваньне крыво´й
выпуклый	вы´гнуты
выравнение	выро´ўніваньне
выравнение аналитическое	выро´ўніваньне аналіты´чнае
выравнение графическое	выро´ўніваньне графі´чнае
выравнение механическое	выро´ўніваньне мэхані´чнае
выражать	выража´ць
выражать рационально	выража´ць рацыяна´льна
выражение	вы´раз
выражение алгебраическое	вы´раз альгебры´чны
выражение аналитическое	вы´раз аналіты´чны
выражение дифференциальное	вы´раз дыфэрэнцыя´льны
выражение дробное	вы´раз дро´бавы
выражение иррациональное	вы´раз ірацыяна´льны
выражение математическое	вы´раз матэматы´чны
выражение неоднородное	вы´раз неаднаро´дны
выражение однородное	вы´раз аднаро´дны
выражение показательное	вы´раз паказа´льнікавы
выражение рациональное	вы´раз рацыяна´льны
выражение свободное	вы´раз во´льны
выражение числовое	вы´раз лі´кавы
высота	вышыня´
высота боковая	вышыня´ бо´чная
высота конуса	вышыня´ ко´нуса
высота треугольника	вышыня´ трыку´тніка
высота угловая	вышыня´ кутава´я
высота цилиндра	вышыня´ цылі´ндра
высший	вышэ´йшы
вытекать	выцяка´ць
вычет	лі´шак
вычет абсолютно малый	лі´шак абсолю´тна малы´
вычет биквадратичный	лі´шак біквадраты´чны
вычет кубичный	лі´шак кубі´чны
вычет степени	лі´шак ступе´ні
вычисление	вылічэ´ньне
вычислительный	выліча´льны
