##Title: Назовы жывёл (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Назовы жывёл</b>. Менск: Інбелкульт, 1927.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>У гэтым выпуску „Беларускае Навуковае Тэрмінолёгіі” зьмешчаны назовы пераважна тых жывёл, якія сустракаюцца ў межах Беларусі, а таксама тых, што ўспамінаюцца ў элемэнтарных падручніках па прыродазнаўстве. Пры ўкладаньні проекту назоваў былі выкарыстаны матар’ялы, зьмешчаныя ў слоўніку Насовіча, у „Маскоўска-Крыўскім слоўніку” Ластоўскага і ў іншых друкаваных выданьнях, а таксама матар’ялы, сабраныя А. Фядзюшыным і іншымі членамі Інстытуту Беларускае Культуры.</p>
	<p>На жаль, пры ўкладаньні гэтага зборніку яшчэ не маглі быць выкарыстаны ўсе матар’ялы Слоўніка-Тэрмінолёгічнай Камісіі Інбелкульту, атрыманыя ў вялікім ліку за апошнія часы ад краязнаўчых організацый Беларусі і ад корэспондэнтаў Інбелкульту. Зразумела, што Прыродазнаўчая Сэкцыя глядзіць на гэты сшытак, як на проект, які толькі часова можа адыгрываць ролю даведніка для настаўніка прыродазнаўства ў беларускай сярэдняй школе.</p>
	<p>Кожны радавы лацінскі назоў перадаваўся адпаведным беларускім словам і, па магчымасьці, назовы відаў адпаведна перададзены ў беларускай мове двума словамі. Лацінскія назовы ўзяты часткова з кніг: „Л. С. Берг. Рыбы пресных вод России. 2 изд. Госиздат, 1923”, „М. А. Мензбир. Птицы России. Изд. 2. Москва. 1895”, часткаю з падручнікаў для вышэйшай і сярэдняй школы, ды з іншых крыніц.</p>
	<p>Складзены М. Азбукіным проект назоваў разглядаўся спэцыяльнай Тэрмінолёгічнай Камісіяй пры Прыродазнаўчай Сэкцыі Інбелкульту ў складзе І. Серады, А. Фядзюшына, Я. Каранеўскага, М. Поўзік і Яцанткоўскага. З боку мовы і правапісу беларускія назовы жывёл перагледжаны Правапісна-Тэрмінолёгічнай Камісіяй Інбелкульту.</p>
	<p>Выпуск дапушчаны да выданьня Прэзыдыумам Прыродазнаўчай Сэкцыі ІБК.</p>
</div>
##HTMLDescription_END
##ArticleLang: la/ru/be

Abramis	лещи	лешч
Gryllidae	сверчки	цьвіркуны
Gryllotalpa vulgaris Latr	медведка; рак земляной	мядзьведзік звычайны
Gryllus campestris L.	сверчок полевой	цьвіркун палявы
Gryllus domesticus L.	сверчок домашний	цьвіркун хатні
Gulo borealis	россомаха	расамаха паўночная
Gymnodontes	скалозубые	скалазубыя
Gymnotus electricus	угорь электрический	вуграк электрычны
Gypaëtos	бородачи	ягнятнік
Gypogeranus serpentarius	секретарь	сакратар
Haemopis	пьявки конские	піявіца
Haliaëtos	орланы	арлан
Halicore dugong	дюгонь	дугонь вадзяны
Hapale	игрунки (род), уистити	весялушка
Hapalidae	игрунки (семейство)	весялушкі
Hatteria	гаттерии, первоящеры	гатэрыя
Hatteria punctata	гаттерия	гатэрыя кропкавая
Heliozoa	солнечники	сонцавікі
Helix	улитки садовые	сьлімак
Helodromas ochropus (L.) — гл. Totanus ochropus		
Hemiptera	полужесткокрылые, хоботные	клаповыя
Herpestes	мангусты	мангуста
Heterocera	разноусые	рознавусыя
Hexapoda — гл. Insekta		
Hippocampus	коньки морские	конярыбка
Hippopotamus	бегемоты, гиппопотамы	гіпопотам, бэгемот
Hippopotamus amphibius	бегемот, гиппопотам	гіпопотам рэчны
Hirudo	пиявки настоящие	п’яўка
Hirudo medicinalis	пиявка медицинская	п’яўка лекарская
Hirundo	касатки	ластаўка
Hirundo riparia — гл. Cotile riparia		
Hirundo rustica L.	ласточка деревенская, касатка	ластаўка звычайная
Hirundo urbica — гл. Chelidon urbica		
Holocephali	сростноголовые	зрослагаловыя
Holothurioidea	голотурии, кубышки морские	голётурыі
Homarus	омары	амар
Homarus vulgaris	омар	амар звычайны
Huso	белуги	бялуга
Hyaena	гиены	гіэна
Hyaena brunnea	гиена бурая	гіэна бурая
Hyaena crocuta	гиена пятнистая	гіэна плямістая
Hyaena striata	гиена полосатая	гіэна паскаватая
Hydra	гидры	гідра
Hydrochelidon	крачки черные	рыбалка
Hydroidea	полипы гидроидные и медузы гидроидные	гідроіды
Hydromedusae — гл. Hydroidea		
Hydrodromici	водомеры	вадамернікі
Hydrometria lacustris L.	водомер болотный	вадамернік азёрны
Hydrophilidae	водолюбы	вадалюбы
Hydrophilus piceus L.	водолюб черный	вадалюб чорны
Hylobates	гиббоны	гібон
Hymenoptera	перепончатокрылые	балонкакрылыя
Hypoderma bovis De Geer	овод бычачий	падскурнік бычы
Hyppobosca equina L.	кровососка лошадиная	крывасос конскі
Hyracoidea	даманы (отряд)	даманы
Hyrax	даманы (род)	даман
Hyrax syriacus	даман	даман сырыйскі
Hystrix	дикобраз	іглак
Ibis	ибисы	ібіс
Idus melanotus (L.)	язь	язь
Impennes	пингвины	пінгвіны
Indicator	медовед	медавед
Infusoria	инфузории	наліўнікі, інфузорыі
Insecta	насекомыя	шасьціногія
Insectivora	насекомоядные	казюлькаеды
Isopoda	равноногие	роўнаногія
Julus terrestris	кивсяк	тысячаножка звычайная
Jynx torquilla L.	вертиголовка	круцігалоўка
Lacerta	ящерицы (род)	яшчарка
Lacerta agilis Wolf	ящерица прыткая	яшчарка спрытная
Lacerta vivipara Iaq	ящерица живорородящая	яшчарка жывародная
Lacertilia	ящерицы (отряд)	яшчары
Lagopus	куропатки белые	пардва
Lama	ламы	ляма
Lama glama	лама	ляма свойская
Lama guanacus	гуанако	ляма гуанака
Lama pacos	альпака	ляма альпака
Lama vicunia	вигонь	ляма вікунья
Lamellibranchiata	пластинчатожаберные	пластказябравыя
Lamellicornia	пластинчатоусые	пласткавусыя
Lamellirostres 	пластинчатоклювые	пласткадзюбыя
Lampetra planeri (Bloch)	минога ручьевая	верацяніца звычайная
Lampyris nocticula L.	червячек ивановский, светляк	сьвятляк купальскі
Lanius	сорокопуты	грычун
Larus	чайки	чайка
Lema melanopa L.	листоед хлебный	лістажэр збожжавы
Lemur	лемуры	лемур
Lemuroidea	полуобезьяны	лемуроіды
Lepas anatitera	уточка морская	лепас качкавы
Lepidoptera	бабочки, чешуекрылые	матылі
Lepidosiren	чешуйчатники	лускоўнік
Lepisma saccharina L.	чешуйница	цукроўнік звычайны
Lepismidae	сахарницы	цукроўнікавыя
Leptoptilus	марабу	марабу
Lepus	зайцы	заяц
Lepus cuniculus	кролик	трус
Lepus europaeus aquilonius Blas	заяц русак	заяц шарак
Lepus timidus	беляк	заяц бяляк
Leuciscus frisii — гл. Rutilus frisii		
Leuciscus idus — гл. Idus melanotus		
Leuciscus cephalus L.	голавль	галавень
Leuciscus leuciscus L.	елец	яльчык
Leuciscus rutilus — гл. Rutilus rutilus		
Libellula quadrimaculata L.	стрекоза четырехточечная	стрэлка чатырохкропкавая
Libbellulidae	стрекозы	бабкі
Limax	слизни, слизнянки	смоўж
Limnaeus	прудовики	балацянік
Limosa melanura	веретенник, кулик болотный	грыцук чорнахвосты
Limulus	мечехвосты	мечахвост
Lina tremulae Fabr	листоед тополевый	лістагрыз асіньнік
Lithobius	сороконожки	станожка
Lithobius forficatus	сороконожка	станожка звычайная
Lobosa	амебы	амэбы
Locusta viridissima L.	кузнечик зеленый	конік зялёны
Locustella luscinoides — гл. Acrocephalus		
Locustidae	кузнечики	конікі
Longicornia — гл. Cerambycidae		
Lophaetyia cristata — гл. Podiceps cristatus		
Lophobranchii	пучкожаберные	пучказябравыя
Lota	налимы	мянтуз
Lota lota (L.)	налим	мянтуз мянёк
Loxia	клесты	крыжадзюб
Loxia curvirostra L.	клест-еловик	крыжадзюб брукун
Lucanus cervus L.	жук-олень	рагалік алень
Lucioperca	судак	судак
Lumbricus terrestris	червь дождевой, червь земляной	дажджавік земляны
Luscinia luscinia — гл. Erithacus luscinia		
Lusciola tithys — гл. Ruticilla		
Lutra	выдры	выдра (м. p.)
Lutreola	норки	норыца
Lycaon	волк гиеновый	гіэнавоўк
Lycosa tarantula	тарантул	тарантул украінскі
Lycosidae	тарантуловые	тарантулы
Lynx	рысь	рысь (м. р.)
Lyrurus tetrix — гл. Tetrao tetrix		
Lytta vesicatoria L.	мушка шпанская	шпанка мушка
Macacus	макаки	макак
Machetes pugnax L. — Гл. Pavoncella pugnax		
Macropus	кенгуру	кангур
Macrorhinus	слоны морские	доўгалыч
Malacodermata	жуки мягкокожие	мяккаскурныя
Malapterurus electricus	сом электрический	самяк электрычны
Mamestra brassicae L.	совка капустная	капустажэрка звычайная
Mammalia	млекопитающие	сысуны
Manatus	ламантины	манат
Manis	панголины, ящеры	лускавец
Mantidae	богомолы	богамолы
Mantis religiosa L.	богомол обыкновенный	богамол звычайны
Mareca penelope L. — гл. Anas penelope		
Marsupialia	сумчатые	торбачнікі
Mastigophora — гл. Flagellata		
Megapodius	большеноги, куры сорные	вяліканог
Meleagris gallopavo	индюк	індык свойскі
Meles	барсуки	барсук
Meliphagidae	медоеды, медососы	мёдаеды
Meloidae — гл. Vesicantia		
Melolonta	жуки майские, хрущи	хрушч
Melolonta vulgaris Fabr	жук майский, хрущ	хрушч звычайны
Menura	лирохвосты	лірахвост
Menura superba	лирохвост, птица-лира	лірахвост пышны
Mephitis	вонючки	сьмярдзючка, скунс
Mergus	крохали	крохаль
Merops	щурки	пчалаедка
Merula merula L. — гл. Turdus merula		
Metazoa	многоклеточные	многакаморкавыя
Micropus apus — гл. Cypselus apus		
Microtus	полёвки	палёўка
Milvus	коршуны	каршун
Misgurnus	вьюны	уюн
Misgurnus fossilis L.	вьюн	уюн звычайны
мо1а — гл. Orthagoriscus		
Molge — гл. Triton		
Mollusca	мягкотелые, молюски	мяккуны, молюскі
Monodon monoceros	нарвал	шыланос
Monotremata	однопроходные, яйцеродные	птушказьверы
Mormon	мандрилы	мормон
Moschus	кабарги	кабарга
Motacilla alba L.	трясогузка белая	сітаўка
Motacilla flava L. — гл. Budytes		
Mugil L.	кефаль	кефаль
Mus	мыши	мыш
Mus decumanus — гл. Epimys		
Musca domestica L.	муха комнатная	муха хатняя
Muscidae	мухи	мухі
Muscicapa	мухоловки	валасяніца
Mustela	куницы	куніца
Mustela erminea L.	горностай	гарнастай
Mustela martes L.	куница лесная	куніца звычайная
Mustela nivalis L.	ласка	ласка
Mustela zibellina L.	соболь	саболь
Mycetes	ревуны	равун
Myogale	выхухоли	хахоля
Myotis	ночницы	начніца
Myoxus	сони	соня
Myriapoda	многоногие	многаножкі
Myrmecobius	муравьеды сумчатые	мурашкалюб
Myrmecophaga	муравьеды	мурашкаед
Myrmeleon formicarius L.	лев муравьиный	мурашкалоў звычайны
Mysticeti	киты беззубые	рыбазьверы бяззубыя
Naja	кобры, змеи очковые	акулярніца
Nasalis	обезьяна носатая	насач
Natatores	водоплавающие	плывуны
Natrix — гл. Tropidonotus natrix		
Nautilus	кораблик	карабельчык
Necrophorus vespillo L.	мертвоед обыкновенный	хаўтурнік звычайны
Nemachilus Hasselt	гольцы	сьліж
Nemathelminthes	черви круглые	чарвякі круглыя
Neomys	куторы водяные	вадашчур
Neophron	стервятники	падлаед
Neottion сrесса — гл. Anas crecca		
Nepa cinerea	скорпион водяной	плашчак вадзяны
Nepidae	скорпионы водяные	плашчакі
Nestor	нестор	нэстар
Neuroptera	сетчатокрылые	сеткакрылыя
Noctiluca	ночесветки	ночасьветлік
Noctuidae	совки, ночницы	ночнікі
Nomarthra	неполнозубые Старого Света	няпоўназубыя старасьветныя
Notoryctes	крот сумчатый	торбакрот
Nucifraga	кедровки, ореховки	арэхаўка
Numenius	кроншнепы	кулён
Numida meleagris	цесарка	цацарка свойская
Nyctea	совы белые	беласоўка
Nyroca nyroca — гл. Fuligula nyroca		
Ocneria dispar L.	шелкопряд непарный	чарнічка няпарная
Ocneria monacha L.	шелкопряд монашенка	чарнічка звычайная
Octopus vulgaris	спрут, осьминог обыкновенный	васьміног
Odontoceti — гл. Denticeti		
Oedicnemus	авдотки	палянік
Oedicnemus crepitans	авдотка	палянік голахвосьцік
Oedipoda coerulescens L.	кобылка голубая	кабылка сіняя
Oestridae	оводы	авадні
Oestrus ovis L.	овод овечий	гіз авечы
Oniscus	мокрицы	бабура
Ophidia	змеи	зьмеі
Ophiuroidei	офиуры, змеехвостки	офіуры
Oriolus galbula L.	иволга	івалга звычайная
Ornithorhynchus paradoxus	утконос	качкадзюб дзіўны
Orthagoriscus	луна-рыба	месяц-рыба
Orthoptera	прямокрылые	простакрылыя
Ortygometra — гл. Porzana		
Orycteropus	трубкозуб	трубказуб
Oryctes nasicornis L.	жук носорог	галаварог запраўдны
Osmerus	корюшки	стынка
Ostrea edulis	устрица съедобная	вустрыца ядобная
Otaria	сивучи	сівак
Otaria jubata	лев морской южный	сівак грывісты
Otaria ursina	котик морской северный	сівак каток
Otis	дрофы	дроп
Otis tarda L.	дрофа	дроп дудак
Otis tetrax L.	стрепет	дроп цецяручнік
Ovis	овцы	баран
Ovis aries	баран домашний	баран свойскі
Ovis musimon	муфлон	баран муфлён
Ovibos moschatus	овцебык, бык мускусный	баранабык
Ovipara — гл. Monotremata		
Pachytylus migratorius	саранча перелетная	шаранчак падарожнік
Pagurus	раки отшельники	хаванец
Palaemon	креветки	крэвэтка
Palpicornia — гл. Hydrophilidae		
Palumbus — гл. Columba palumbus		
Pandion	скопы	скаба
Panolis piniperda Panz	совка сосновая	хвояжэрка шкодная
Pаріо	павиан	павіян
Paradisea	птицы райские (род)	райптушка
Paradisea apoda	птица райская	райптушка прыгожая
Paradiseidae	птицы райские (семейство)	птушкі райскія
Paradoxurus	страннохвосты	дзіўнахвост
Paramoecium	туфельки	пантоплік
Parus	синички кузнечики	сініца
Parus ater L.	синица московка	сініца маскоўка
Parus coeruleus — гл. Cyanistes		
Parus major Briss	синица большая	сініца вялікая
Passer	воробьи	верабей
Passer domesticus Briss	воробей	верабей звычайны
Pavo cristatus domesticus	павлин	пава свойская
Pavoncella	турухтаны	баталён
Pavoncella pugnax	турухтан	баталён ваяка
Pediculidae	вши	вош
Pediculus capitis L.	вошь головная	вош галаўная
Pediculus vestimenti Burm	вошь платяная	вош звычайная
Pelecanus	пеликаны	баба
Pelecus	чехони	касар
Pelobates	повитухи	павітуха
Pentatoma baccarum L.	клоп древесный обыкновенный	ягадаед звычайны
Pentatomidae	клопы растительноядные	ягадаяднікі
Perca	окуни	акунь
Perca fluviatilis L.	окунь	акунь рэчны
Perdix	куропатки	курапатка
Perdix cinerea	куропатка серая	курапатка шэрая
Perennibranchiata	постоянножаберные	сталазябравыя
Periplaneta orientalis L.	таракан черный	таракан чорны
Perissodactyla	непарнокопытные	няпарнакапытныя
Pernis	осоеды	каршак
Pernis apivorus	осоед	каршак асаед
Petaurus	летяга сумчатая	лятунец
Petromyzon L.	миноги	мінога
Petromyzon planeri — гл. Lampetra planeri		
Phaeton	фаэтоны	фаэтон
Phalacrocorax	бакланы	баклан
Phalaenidae — гл. Geometridae		
Phalangista	кускусы	фалянгісты
Phalangium	сенокосцы	стрыгун
Phaneroglossa	явноязычные	языкатыя
Phascolarctos	коала, медведи сумчатые 	коаля
Phascolomys	вомбаты	вомбат
Phasianus	фазаны	бажан
Phasmidae	палочники	палачнікі
Philomachus pugnax — гл. Pavoncella pugnax		
Phiptoglossa	червеязычные	чэрвяязычныя
Phoca	тюлени	нэрпа
Phoenicopterus	краснокрылы, фламинго	чырвонакрыл
Pholas	каменоточцы	скалаточ
Phryganea L.	ручейники	ашытка
Phyllodromia germanica	таракан-пруссак	прусак хатні
Phyllopteryx	коньки морские тряпичные	лістарыбка
Phylloscopus	пеночки	будаўнічок
Phylloxera vastatryx	филоксера виноградная	філёксэра вінаграднікавая
Physetes — гл. Catodon		
Physopoda	пузыреногие	пухіраногія
Pica	сороки	сарока
Pica caudata Ger	сорока	сарока доўгахвостая
Picus	дятлы	дзяцел
Picus major L.	дятел большой пестрый	дзяцел пярэсты
Picus martius L.	дятел черный, желна	дзяцел жаўна
Picus minor L.	дятел малый пестрый	дзяцел малы
Pieridae	белянки	беляны
Pieris brassicae L.	капустница	бялян капусьнік
Pieris crataegi	боярышница	бялян жываплотнік
Pinnipedia	ластоногие	плаўняногія
Pіра	пипы	піпа
Pipistrellus	нетопыри	скурлат
Pisces	рыбы	рыбы
Pitheci	обезьяны	малпы
Placentalia	плацентарные	месцаплодныя
Plagiostomata	поперечноротые, селахии	папярочнаротыя
Plagiotremata	поперечнопроходные, чешуйчатые	лускавікі
Planorbis	катушки	скрутка
Plathelminthes	черви плоские	чарвякі плоскія
Platyrrhini	обезьяны широконосые	малпы шыраканосыя
Plecotus	ушаны	вушан
Plectognathi	сростночелюстные	зросласківічныя
Pleuronectes L.	камбалы	камбала
Plusia gamma	совка-гамма	вуca гама
Podiceps	поганки	нырчык
Podiceps auritus L.	поганка рогатая	нырчык чубаты
Podiceps cristatus L.	поганка большая	нырчык кавур
Podiceps nigricollis С. L. Brehm	поганка ушастая	нырчык ушасты
Podura aquatica L.	блоха водяная	подура вадзяная
Poduridae	подуры	подуры
Polyphylla fullo L.	хрущ июльский, пестрый	хрушчак летні
Polyprotodontia	сумчатые плотоядные	поліпротодонты
Polypterus	многопер	многапёр
Porcus babyrussa — гл. Babyrussa		
Porzana	курочки	курка
Porzana maruetta Leach	погоныш	курка вадзяная
Porzana parva Scop	курочка малая	курка балотная
Pratincola	чеканы-мухоловки	іванчык
Primates	приматы, обезьяны	прыматы
Pristis	пилы-рыбы	піларыб
Proboscidea	хоботные	хобатаносыя
Procellaria	буревестники, качурки	вястун
Proctopus nigricollis — гл. Podiceps nigricollis		
Procyon	еноты	янот
Proteles	волки земляные	земнавоўк
Proteus	протеи	протэй
Protheria — гл. Monotremata		
Protopterus	чешуйчатники	двудыхальнік
Prototheria — гл. Monotremata		
Protozoa	простейшие, одноклеточные	аднакаморкавыя
Prosimii	полуобезьяны, лемуры	прамалпы
Psittaci	попугаи	папугі
Psittacus	попугаи серые	жако
Psylla mali Shmdb	листоблошка яблочная	лістаскочка яблыневая
Psylla ріrі L.	листоблошка грушевая	лістаскочка грушавая
Psyllidae	листоблошки	лістаскочкі
Pterocles	рябки	пустыньнік
Pteromys	летяги	ляцяга
Pteropoda	крылоноги	крыланогія
Pteropus	собака летучая, крылан	крылан
Ptinus fur L.	притворяшка-вор	ашуканчык звычайны
Puffinus	буревестники	буравесьнік
Pulex canis Dug.	блоха собачья	блыха сабачая
Pulex irritans L.	блоха человеческая	блоха скочка
Pulicidae	блохи	блохі
Pulmonata	моллюски легочные	лёгачнікі
Putorius	хорьки	тхор
Putorius erminea — гл. Mustela erminea		
Putorius putorius	хорек	тхор шашок
Putorius vulgaris — гл. Mustela nivalis		
Pyrrherodias purpurea — гл. Ardea purpurea		
Pyrrhula	снегири	гіль
Python	удавы	пытон
Python molurus	питон тигровый	пытон тыгравы
Querquedula circia — гл. Anas circia		
Querquedula crecca — гл. Anas crecca		
Radiolaria	лучевики, радиолярии	праменьнікі
Raja	ска´ты (род)	пластун
Rajidae	ска´ты (семейство)	пластуны
Rallus	пастушки	вадакурка
Rana	лягушки	жаба
Rangifer	олени северные	рагаль
Raptatores — гл. Accipitres		
Ratitae	бескилевые	плоскагрудыя
Regulus	корольки	каролік
Reptilia	пресмыкающиеся, рептилии	гады
Rhamphaster	туканы	перцаед
Rhea	рея, нанду, страусы американские	рэя
Rhinoceros	носорог	носарог
Rhinolophus	подковонос	падкованос
Rhizopoda	корненожки	корняножкі
Rhodeus	горчаки	гарчак
Rhopalocera	булавоусые	булававусыя
Rhyacophilis glareola (L.) — гл. Totanus glareola		
Rhynchites bacchus L.	казарка	доўганосік казарка
Rhynchocephala	ящерогады	яшчарагады
Rhynchota — гл. Hemiptera		
Rodentia	грызуны	грызуны
Rotatoria	коловратки	колаўроткі
Ruminantia	жвачныя	жуйкавыя
Rupicapra	серны	серна
Ruticilla	горихвостки	чорнагрудка
Rutilus frisii (Nordmann)	вырезуб	выразуб
Rutilus rutilus (L.)	плотва	плотка
Rutilus heckeli (Nordmannn)	тарань	таран
Rutilus caspicus (Jakowlew)	вобла	вобла
Saiga	сайгі	сайга
Salamandra	саламандры	салямандра
Salmo	лососи	стронга
Salmo fario L.	пеструшка, форель ручьевая	стронга пярэстая
Salmo lacustris L.	форель озерная	стронга азёрная
Salmo salar L.	лосось	стронга ласоска
Sarcophaga carnaria L.	муха мясная	мясьніца звычайная
Sarcophilus ursinus	чорт сумчатый	зьверажэр торбачны
Sarcoptes scabiei	зудень чесоточный	сьвярбец кароставы
Sarcorhamphus gryphus	кондор	кондар
Sauria — гл. Lacertila		
Saxicola	чеканы-каменки	ерчык
Scaphopoda	лопатоногие	лапатаногія
Scarabaeidae — гл. Lamellicornia		
Sciuropterus	летяги	белкакрыл
Sciurus	белки	белка, вавёрка
Sclerodermata	твердокожие	цьвёрдаскурыя
Scobytidae	короеды	караеды
Scolopax major — гл. Gallinago major		
Scolopax gallinago — гл. Gallinago gallinago		
Scolopax gallinula — гл. Gallinago gallinula		
Scolopax rusticola L.	вальдшнеп	слонка
Scomber	макрели	скумбрыя
Scorpionina	скорпионы	скорпіёны
Scutati — гл. Pentatomidae		
Selache maxima	акула исполинская	сэляхія вялізная
Selachii — гл. Plagiostomata		
Semnopithecus	обезьяны тонкотелые (род)	малпачка
Sepia	каракатицы	сэпія
Seriiinus canarius	канарейка	канарка хатняя
Sesiidae	стекляницы	шклянікі
Silpha atrata L.	мертвоед свекловичный	сільфа бурачная
Silphidae	мертвоеды	сільфіды
Silurus	сомы	сом
Simia	орангутанги	орангутан
Simiidae — гл. Anthropomorpha		
Simplicidentata	(парнорезцовые)	простазубыя
Simulidae	мошки, москиты	мошкі
Siphonophora	сифонофоры	сіфонофоры
Sirenia	сиреневые	сірэніі
Sitta	поползни	глінянка
Sittace	ара, apapa	ара
Solenodon	альмикви	шчыліназуб
Somateria	гаги	гага
Sorex	землеройки	зямлярыйка
Spalax	слепыши	сьляпун
Spatula clypeata (L.) — гл. Anas clypeata		
Spermophilus	суслики	суслак
Sphenodon — гл. Hatteria		
Sphingidae	сфинксы, бражники	змрочнікі
Sphinx pinastri L.	бражник сосновый	змрочнік хвойны
Spirilla	спирилла	спірыля
Spirochaeta	спирохета	спірохэта
Spongiae	губки	губкі
Spongilla	бадяга	бадзяга
Squaliae	акулы	акулы
Squalius cephalus — гл. Leuciscus cephalus		
Squalius leuciscus — гл. Leuciscus cephalus		
Squamata — гл. Plagiotremata		
Staphilinidae	хищники	стафіліны
Staphilinus caesarius Cedern	стафилин императорский	стафілін цэзарскі
Stenops	лори	лёры
Sterna	крачки светлые	рыбачка
Stringops	попугаи совиные	папуга сава
Strix	сипухи	сава
Struthio	страусы	стравус
Sturnus	скворцы обыкновенные	шпак
Sus	свиньи	сьвіньня
Sus scrofa L.	кабан дикий	дзік
Sylvia	славки	леска
Syngnathus acus	игла рыба	ігларыб востры
Syrnium	неясыти	кугакаўка
Tabanidae	слепни	сьлепні
Tabanus bovinus L.	слепень бычачий	сьлепень бычы
Tаеnіа	цепени, солитеры	солітэр
Tаlра	кроты	крот
Tamias	бурундуки	бурундук
Tamias siriatus	бурундук	бурундук паскаваты
Tapirus	тапиры	тапір
Tarsius	долгопят	доўгапятка
Tegenaria domestica	паук домовой	павук хатні
Teleostei	рыбы костистые	касьцістыя
Termes bellicosus Steathman	термит воинственный	тэрміт ваяка
Termitidae	термиты	тэрміты
Testudo	черепахи наземные 	шчытніца
Tetrao bonasia — гл. Bonasa		
Tetrao tetrix L.	тетерев косач	цецярук
Tetrao urogallus L.	глухарь	глушэц
Thripsidae	трипсы	трыпсы
Thrips cerealium Halid	трипс хлебный	трыпс збожжавы
Thrips secalina Lind	трипс ржаной	трыпс жытні
Thylacinus	волк сумчатый	торвазьвер
Thynnus	тунцы	тунец
Thysanura	бескрылые	бяскрылыя
Thysanoptera — гл. Physopoda		
Tinca	лини	лін
Tinea granella L.	моль зерновая	моль зерневая
Tineidae	моли	молі
Tinnunculus	пустельги	шулячок
Tomicus chalcographus L.	короед гравер	караед гравер
Tomicus stenographus Duftschm	короед большой сосновый, стенограф	караед стэнограф
Tomicus typographus L.	короед большой еловый, типограф	караед друкар
Torpedo	скаты электрические	торпэднік
Tortricidae	листовертки	лістакрутка
Tortrix viridana L.	листовертка дубовая	лістакрутка дубовая
Totanus	улиты	кулік
Totanus calidris L.	травник	кулік случок
Totanus glareola L.	фифи	кулік бакасік
Totanus glottis L.	улит большой	кулік селянец
Totanus ochropus L.	кулик черныш	кулік чарняк
Totanus pugnax Briss — гл. Pavoncella pugnax		
Tragulus	оленьки	аленьчык
Trematodes	сосальщики	сысальнікі
Trichechus	моржи	морж
Trichina	трихины	трыхіна
Trichina spiralis	трихина	трыхіна пакручастая
Tringa	песочники	пясочнік
Triton	тритоны	трытон
Trochilidae	колибри	колібры
Trochilium apiforme	стекляница пчеловидная	шклянік пчолка
Troglodytes	крапивники	валовавока
Tropidonotus natrix	уж обыкновенный	вуж звычайны
Trygon	кот морской	трысьцен
Trypanocorax frugilegus — гл. Corvus frugilegus		
Tunicata	оболочники	абалоньнікі
Turbellarii	турбеллярии	турбэлярыі
Turdus	дрозды	дрозд
Turdus iliacus L.	дрозд белобровый	дрозд арэхавік
Turdus merula L.	дрозд черный	дрозд чорны
Turdus musicus L.	дрозд певчий	дрозд сьпявун
Turdus pilaris L.	дрозд рябинник	дрозд піскун
Turdus viscivorus L.	деряба, дрозд большой	дрозд шэры
Turtur	горлицы	турчык
Tylopoda	мозоленогие	мазоляногія
Upupa	удоды	удод
Uria	кайры	кайра
Urinator arcticus (L.) — гл. Colymbus arcticus		
Urodela	хвостатые	хвастатыя
Ursus	медведи	мядзьведзь
Ursus americanus	медведь черный, барибал	мядзьведзь чорны
Ursus arctos L.	медведь бурый	мядзьведзь буры
Ursus horribilis	медведь серый, гризли	мядзьведзь шэры
Ursus maritimus	медведь белый	мядзьведзь белы
Vampyrus	вампиры	упыр
Vanellus	чибисы	кнігаўка
Vanessa antiopa L.	траурница	самахвал жалобнік
Vanessa polychloros L.	многоцветница	самахвал калёрнік
Vanessa urticae L.	крапивница	самахвал крапіўнік
Velella	парусники	жагелік
Vermes	черви	чарвякі
Vertebrata	позвоночные	хрыбетныя
Vesicantia	нарывники	шпанкі
Vespa crabro L.	шершень	шэршань
Vespa vulgaris L.	оса обыкновенная	аса звычайная
Vespertilio murinus L.	мышь летучая двуцветная, кожан двуцветный	вечарнік сьценны
Vespidae	осы	восы
Vibrio	вибрион	вібрыён
Vipera berus	гадюка	гадзюка звычайная
Viverra	виверры	вівэра
Viverra zibetha	цивета	вівэра цыбэта
Vulpes — гл. Canis vulpes		
Vultur	грифы	грыф
Xenarthra	неполнозубые Нового Света	няпоўназубыя новасьветныя
Xiphias giadius	меч-рыба	мечарыб доўганосы
Xylophaga	древоеды	дрэваеды
Zabrus gibbus Fabr	жужжелица хлебная, пеун	збожжавік пявун
Zygaena	млат-рыбы	молатрыба
