##Title: Ботаніка. Спэцыяльная (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Ботаніка. Агульная і спэцыяльная</b>. Менск: Інбелкульт, 1924.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Проэкт беларускай ботанічнай тэрмінолёгіі, надрукованы ў гэтай кнізе, складаецца з дзьвюх частак. Першая зьмяшчае ў сабе тэрмінолёгію Агульнае Ботанікі (анатомія, морфолёгія і фізіолёгія расьлін) і складаецца з расійска-беларускага слоўніка і пры ім двох паказчыкаў − для лацінскіх і беларускіх тэрмінаў з Агульнае Ботанікі. Другая частка складаецца з лацінска-расійска-беларускага слоўніка назваў вышэйшых расьлін (гал. чынам Spermatophyta), спатыканых і агульна вядомых у Беларусі. Назвы сем‘яў, родаў і відаў расьлін зьмешчаны тут разам у парадку лацінскага альфабэту. Да асноўнага слоўніка дададзены два паказчыкі тэрмінаў − беларускі і расійскі. Дзякуючы гэтаму, адшукаць патрэбную назву ці тэрмін павінна быць даволі лёгка.</p>
	<p>Увесь проэкт тэрмінолёгіі быў уперад зложаны Дырэктарам Менскае Балотнае Станцыі, сябрам Інбелкульту <b>Вітольдам Міхальскім</b>. Пасьля на працягу 1922−1923 гадоў проэкт быў перагледжаны і прыняты Прыродазнаўчай Сэкцыяй Інстытуту Беларускае Культуры, а часткаю быў заслуханы і ў пленуме Інбелкульту. Найбольш значны ўдзел у гэтай працы па перагляду прыймалі сябры Інбелкульту С. Некрашэвіч, М. Азбукін, М. Грамыка, А. Круталевіч, Ч. Родзевіч і А. Смоліч.</p>
	<p>Першая частка проэкту (Агульная Ботаніка) была ўжо надрукована ў № 7−8 „Вест. Нар. Кам. Асьветы С. С. Р. Б.“ за 1922 г. Вымагала яна, аднак, пэўных паправак і дапаўненьняў. Папраўкі і дадаткі ў гэтую частку проэкту, а таксама ўпарадкаваньне і тэхнічная рэдакцыя абедзьвюх частак, улажэньне паказчыкаў і г. д. выпаўнены сябрам Інбелкульту Ар. Смолічам.</p>
	<p>Выпускаючы гэты сшытак тэрмінолёгіі ў сьвет, мусім адзначыць яе проэктовы характар. Беларуская мова мае дужа багаты запас ботанічных назваў і тэрмінаў, якія толькі часткова выяўлены; на грунце гэтага выяўленага народнага матар’ялу і пабудована нашая тэрмінолёгія. Аднак новыя запісы і досьледы дадуць, пэўна, шмат больш гэтага матар’ялу, чым яго было ў нашым карыстаньні, і тады можна будзе паправіць тыя недасканаласьці, якія могуць спаткацца ў гэтай працы.</p>
	<p>Усе ўвагі і дадаткі да ботанічнае тэрмінолёгіі трэба накіроўваць у Інстытут Беларускае Культуры (Менск, Наркампрос), у Прыродазнаўчую Сэкцыю.</p>
</div>
##HTMLDescription_END
##ArticleLang: la/ru/be

Abies Tourn	пихта	ельніца 
Cirsium lanceolatum Scop.	осот ланцетолистный	асот лянцэтавы 
Cirsium oleraceum Scop.	осот огородный	асот агародны 
Cirsium palustre Scop.	осот болотный	асот балотны 
Cirsium rivulare Lk.	осот речной	асот паўзьбярэжны 
Citrullus Schrad.	арбуз	кавун 
Citrullus vulgaris Schrad.	арбуз обыкновенный	кавун звычайны 
Clematis L.	ломонос	павойнік 
Clematis integrifolia L.	ломонос цельнолистный	павойнік цэлалісьцёвы 
Clematis recta L.	ломонос прямой	павойнік просты 
Clematis Vitalba L.		павойнік звычайны 
Clinopodium L.	пахучка	вырачка 
Clinopodium vulgare L.	пахучка обыкновенная	вырачка звычайная 
Cnidium Cuss.	жгун-корень	клявешчына 
Cnidium venosum Koch.	жгун-корень ядовитый	клявешчына звычайная 
Cochlearia L.		хрэн 
Cochlearia Armoracia L.	хрен	хрэн звычайны 
Colchicum L.		зімоўнік 
Colchicum autumnale L.		зімоўнік звычайны 
Compositae	сложноцветные	складанакветныя 
Conium L.	болиголов	амежнік 
Conium maculatum L.	болиголов крапчатый	амежнік плямісты 
Convallaria Desf.	ландыш	лантуш 
Convallaria majalis L.	ландыш майский	лантуш майскі 
Convolvulaceae	вьюнковые	павойныя 
Convolvulus L.	вьюнок	павой 
Convolvulus arvensis L.	вьюнок полевой (березка)  	павой палявы
Convolvulus sepium L.		павой плотавы 
Coriandrum L.	кишнец	каляндра 
Coriandrum sativum L.	кишнец посевный	каляндра сеўная 
Cornасеае DC.	деренные	сьвідзінавыя 
Cornus L.	дерен	сьвідзіна 
Cornus sanguinea L.	спиж 	сьвідзіна чырвоная 
Coronilla L.	вязель	цяцерка 
Coronilla varia L.	вязель разноцветный	цяцерка пярэстая 
Corydalis DC.	хохлатка	чубатка 
Corydalis cara Schw. et Koert	хохлатка полая	чубатка пустая 
Corydalis solida Sm.	хохлатка плотная	чубатка звычайная 
Corylus L.	орешник	ляшчына 
Corylus Avellana L.	орешник обыкновенный (лещина)	ляшчына  лесавая 
Crepis L.	скерда	зубнік 
Crepis biennis L.	скерда двулетняя	зубнік двухлетні 
Crepis paludosa Moench.		зубнік балотны 
Crepis tectorum L.	скерда кровельная	зубнік дахаваты 
Crataegus L.	боярышник	глог 
Crataegus oxycantha L.	боярышник колючий	глог калючы 
Cruciferae.	крестоцветные	крыжыкавыя 
Cucumis L.	огурец, дыня	агурок 
Cucumis sativus L.	огурец	агурок звычайны 
Cucumis Melo L.	дыня	дыня 
Cucurbita L.	тыква	гарбуз 
Cucurbita Pepo L.	тыква обыкновенная	гарбуз звычайны 
Cucurbitaceae.	тыквенные	гарбузовыя 
Cuscuta L.	повилика	павітуха 
Cuscuta europaea L.	повилика обыкновенная 	павітуха эўропэйская 
Cuscutaceae	повиликовые	павітухавыя 
Cynoglossum L.	чернокорень	касталом 
Cynoglossum officinale L.	чернокорень лекарственный	касталом лекавы 
Cynosurus L.	гребник	грэбнік 
Cynosurus cristatus L.	гребник обыкновенный (приплевчатка)	грэбнік звычайны 
Cyperus L.	сыть	цытрак 
Cyperus flavescens L.	сыть желтоватая	цытрак жаўтавы 
Cyperus fuscus L.	сыть бурая	
Cypripedium L	башмачки	чаравічкі 
Cypripedium Calceolus L.	башмачки обыкновенные	чаравічкі звычайныя 
Cytisus L.	ракитник	зяновец 
Cytisus austriacus L.	ракитник австрийский	зяновец аўстрыйскі 
Cytisus nigricans L.	ракитник чернеющий	зяновец чарнаваты 
Cytisus ruthenicus Wol.		зяновец русінскі 
Dactylis L.	ежа	купкоўка 
Dactylis glomerata L.	ежа обыкновенная	купкоўка звычайная 
Dahlia	георгина	юргіня 
Daphne L.	волчник	воўчаягада 
Daphne Mezereum L.	волчник обыкновенный, волчье лыко	воўчаягада звычайная 
Datura L.	дурман	дурнап’ян 
Datura Stramonium. L.	дурман вонючий	дурнап’ян сьмярдзючы 
Daucus L.	морковь	морква 
Daucus Carota L.	морковь огородная	морква агародная 
Delphinium L.	живокость	рагулькі 
Delphinium Consolida L.	живокость посевная	рагулькі звычайныя 
Delphinium elatum L.	живокость высокая	рагулькі высокія 
Deschampsia PB.	луговик	вострыца 
Deschampsia caespitosa РВ.	щучка (луговик дернистый)	вострыца дзёрнавая 
Deschampsia flexuosa Trin.	луговик извилистый	вострыца нагнутая 
Dianthus L.	гвоздика	іскаркі 
Dianthus arenarius L.	гвоздика песчаная	іскаркі пескавыя 
Dianthus Carthusianorum L.	 	іскаркі картускія
Dianthus deltoides L.	травянка	іскаркі звычайныя 
Dianthus superbus L	гвоздика пышная	іскаркі пышныя 
Dicotyledoneae	двудольные	двулісьценевыя 
Digitalis L.	наперстянка	наперстаўка 
Digitalis ambigua Murr. 	наперстянка крупноцветная	наперстаўка белажоўтая 
Digitalis lutea		наперстаўка жоўтая 
Digitalis purpurea		наперстаўка чырвоная 
Dipsacus L.	ворсянка	поўсьніца 
Dipsacus Fullonum L.	ворсянка	поўсьніца сеўная 
Dipsacus silvester Huds.		поўсьніца лесавая 
Draba L.	крупка (тачка)	крупка 
Draba nemorosa L.	крупка (тачка) лесная	крупка пралескавая 
Draba repens MB.		крупка паўзучая 
Draba verna L.	крупка (тачка) весенняя	крупка веснавая 
Drosera L.	росянка	расіца 
Drosera intermedia Hayne.	росянка средняя	расіца сярэдняя 
Drosera longifolia L.	росянка английская	расіца доўгалістая 
Drosera rotundifolia L.	росянка круглолистная	расіца круглалістая 
Echinochloa РВ.		брыца 
Echinochloa Cruss galli PB. 	куриное просо 	брыца звычайная 
Echium L.	синяк	сіняквет 
Echium vulgare L.	синяк обыкновенный	сіняквет звычайны 
Elodea		пошастка
Elodea canadensis	 	пошастка канадыйская
Elsholtzia	шандра	псярка 
Elsholtzia Patrini Garcke.	шандра гребенчатая	псярка звычайная 
Empetrum L.	вороника	багноўка 
Empetrum nigrum L.	вороника черная	багноўка чорная 
Epilobium L.	кипрей	скрыпень 
Epilobium angustifolium L.	иван-чай	скрыпень вузкалісты 
Epilobium hirsutum L.	кипрей волосистый	скрыпень калматы 
Epilobium palustre L.	кипрей болотный	скрыпень балотны 
Epilobium parviflorum Schreb.	кипрей мелкоцветный	скрыпень дробнакветкавы 
Epilobium roseum Schreb.	кипрей розовый	скрыпень ружовы 
Epipactis Rich.	дремлик	гайнік 
Epipactis latifolia	дремлик широколистный 	гайнік шыракалісты 
Epipactis palustris Crantz.	дремлик болотный	гайнік балотны 
Equisetaceae DC.	хвощевые	хвашчовыя 
Equisetum L.	хвощ	хвошч 
Equisetum arvense L.	хвощ полевой	хвошч палявы 
Equisetum lomosum L.	хвощ иловатый	хвошч намульны 
Equisetum palustre L.	хвощ болотный	хвошч балотны 
Equisetum pratense Ehrh	хвощ луговой	хвошч лугавы 
Equisetum silvaticum L.	хвощ лесной	хвошч лесавы 
Erigeron L.	мелколепестник	купалка 
Erigeron acer L.	загадка	купалка вострая 
Erigeron canadensis L.	мелколепестник канадский	купалка канадыйская 
Eriophorum L.	пушица	падвей 
Eriophorum angustifolium Roth. 	пушица узколистная 	падвей вузкалісты
Eriophorum latifolium Hoppe.	пушица широколистная	падвей шыракалісты 
Eriophorum vaginatum L.	пушица влагалищная	падвей похвісты 
Erodium L'Herit.	аистник	бусельнік 
Erodium cicutarium L'Herit	аистник цикутный	бусельнік цыкутны 
Ervum L.	чечевица	сачоўка 
Ervum Lens L.	чечевица съедобная	сачоўка праўдзівая 
Ervum nigricans MB.		сачоўка чарнаватая 
Erysimum L.	желтушник	жаўтушка 
Erysimum cheiranthoides	желтушник левкойный	жаўтушка дробнакветная 
Erysimum orientale R. Br.		жаўтушка ўсходняя 
Erysimum versicolor Andz.		жаўтушка рознакаляровая 
Erythraea.	золототысячник	цьвінтарэй 
Erythraea centaurium Pers.	золототысячник обыкновенный	цьвінтарэй звычайны 
Eupatorium L.	посконник	рэпік 
Eupatorium cannabinum L.	посконник обыковенный	рэпік канапляны 
Euphorbia L.	молочай	малачай 
Euphorbia helioscopia L.	солнцегляд	малачай месячны 
Euphorbia virgata W. et К. 	молочай лозный	малачай разгаты 
Euphrasia L.	очанка	цяцюшнік 
Euphrasia officinalis L.	очанка 	цяцюшнік лекавы
Evonymus L.	бересклет	брызьліна 
Evonymus europaeus L.	бересклет европейский	брызьліна эўропэйская 
Evonymus verrucesus Scop.	бересклет бородавчатый	брызьліна гузаватая 
Fagopyrum Tourn.	гречиха	грэчка 
Fagopyrum esculentum Mnch.	гречиха настоящая	грэчка праўдзівая 
Fagopyrum tataricum Gärtn.	гречиха татарская	грэчка татарская 
Festuca L.	овсяница	мурожніца 
Festuca arundinacea Schreb.	овсяница тростниковая	мурожніца чаротавая 
Festuca gigantea Vill	овсяница высокая	мурожніца вялікая 
Festuca heterophylla Lmk.	овсяница разнолистная	мурожніца розналістая 
Festuca ovina L.	овсяница овечья	мурожніца авечая 
Festuca pratensis Huds.	овсяница луговая	мурожніца лугавая 
Festuca rubra L.	овсяница красная	мурожніца чырвоная 
Festuca silvatica Vill.	овсяница лесная	мурожніца лесавая 
Filago Tourn.	жабник	калматка 
Filago arvensis L.	жабник полевой	калматка палявая 
Filago minima Fries.	жабник малый	калматка малая 
Filices		папараць 
Filipendula L.	таволга	вятроўнік 
Filipendula Ulmaria Maxim	таволга вязолистная	вятроўнік вязалісьцевы(ці вязалісьцявы – у папяровым абодва варыянты)
Filipendula hexapetala Gilib. 	земляные орехи 	вятроўнік бульбяны 
Foeniculum Adans.	фенхель	фэнхель 
Foeniculum offiicinale All	фенхель лекарственный	фэнхель лекавы 
Fragaria L.	земляника, клубника 	cуніцы 
Fragaria vesca L.	земляника лесная	cуніцы звычайныя 
Fragaria viridis Duch.	клубника	cуніцы трускаўкі 
Fraxinus L.	ясень	ясен 
Fraxinus excelsior L.	ясень обыкновенный	ясен звычайны 
Fumaria Тоurn.	дымянка	дымніца 
Fumaria officinalis L.	дымянка лекарственная 	дымніца лекавая 
Fumariaceae	дымянковые	дымніцавыя 
Galeobdolon Huds.	зеленчук	добраполь 
Galeobdolon luteum Huds.	зеленчук желтый	добраполь жоўты 
Galeopsis L.	пикульник	зябер 
Galeopsis La´danum L.	жабрей	зябер палявы 
Galeopsis Te´trahit L.	медовник	зябер дробнакветкавы 
Galeopsis speciosa Mill.	зябра	зябер вялікі 
Galium L.	подмаренник	маруна 
Galium Aparine L.	подмаренник цепкий (лепчица)	маруна ўчэпістая 
Galium boreale L.	подмаренник северный	маруна паўночная 
Galium Mollugo L.	подмаренник мягкий	маруна звычайная 
Galium palustre L.	подмаренник болотный	маруна балотная 
Galium uliginosum L	подмаренник топяной	маруна багнавая 
Galium vernum Scop.	подмаренник весенний	маруна веснавая 
Galium verum L	подмаренник настоящий	маруна праўдзівая 
Genista L.	дрок	жоўтазель 
Genista germanica L.	дрок германский	жоўтазель нямецкі 
Genista tinctoria L.	дрок красильный	жоўтазель хварбоўны 
Gentiana L.	горечавка	гарычка 
Gentiana Amarella L.	стародубка	гарычка горкая 
Gentiana cruciata L.	соколий перелет	гарычка крыжавая 
Gentiana germanica L.		гарычка нямецкая 
Gentiana Pneumouanthe L. 	синие колокольчики 	гарычка вузкалістая 
Gentianaceae.	горечавковые	гарычкавыя 
Geranium L.	герань	геранія 
Geranium collinum Steph.	герань холмовая	геранія ўзгоркавая 
Geranium palustre L.	герань болотная	геранія балотная 
Geranium pratense L.	герань луговая	геранія лугавая 
Geranium pyrenaicum L.	герань пиренейская	геранія пірэнэйская 
Geranium silvaticum L.	герань лесная	геранія лесавая 
Geum L.	гравилат	панікніца 
Geum virale L.	гравилат речной	панікніца ўзьбярэжная 
Geum urbanum L.	гравилат городской	панікніца звычайная 
Gladiolus L.	шпажник	мечнік 
Gladiolus imbricatus L.	шпажник черепичатый	мечнік дахоўкаваты 
Glechoma L.	будра	блюшчык 
Glechoma hederacea L.	будра плющевидная	блюшчык звычайны 
Glyceria R. Br.	манник	манна 
Glyceria aquatica Wahlb.	манник водяной	манна вадзяная 
Glyceria fluitans R. Br.	манник обыкновенный	манна звычайная 
Gnaphalium L.	сушеница	сушніца 
Gnaphalium silvaticum L.	сушеница лесная	сушніца лесавая 
Gnaphalium uliginosum L.	сушеница болотная	сушніца балотная 
Gossypium L.	хлопчатник	бавоўнік 
Gossypium hirsatum L.	хлопчатник нагорный	бавоўнік гаравы 
Gramineae	злаки	травы 
Graphephorum		троска 
Graphephorum arundinaceum Asch. 	трезубка овсяничная 	троска чаротавая 
Grossulariaceae	смородинные	агрэставыя 
Gymnadenia R. Br.	кокушник	ядрушка 
Gymnadenia conopea R. Br.	кокушник длиннорогий	ядрушка доўгарогая 
Gymnadenia odoratissima Rich.	кокушник душистый	ядрушка пахучая 
Gymnospermae	голосемянные	голанасенныя 
Gypsophila	качим	вапнаўка 
Gypsophila fastigiata L.	качим щитковидный	вапнаўка калматая 
Gypsophila muralis L.	качим стенной	вапнаўка муравая 
Gypsophila paniculata L.	качим метельчатый или перекати-поле	вапнаўка мятловая 
Hedera L.	плющ	блюшч 
Hedera Helix L.		блюшч звычайны 
Heleocharis R. Br.	ситняг	балотнік 
Heleocharis acicularis R. Br.	ситняг булавчатый	балотнік булаўны 
Heleocharis ovata R. Br.	ситняг яйцевидный	балотнік яйкаваты 
Heleocharis palustris R. Br. 	ситняг болотный 	балотнік балотны 
Heleocharis uniglumis Lk.	ситняг одночешуйный	балотнік адналускавы 
Helianthus L.		сонечнік 
Helianthus annuus L.	подсолнечник	сонечнік звычайны 
Helianthus tuberosus L.	земляные груши	сонечнік бульбінцы 
Helichrysum DC.	цмин	грымотнік 
Helichrysum arenarium DC.	цмин песчаный	грымотнік пескавы 
Helleborus L.		чэмер 
Helleborus niger L.		чэмер чорны 
Helleborus viridis.		чэмер зялёны 
Hepatica L.	перелеска	пралеска 
Hepatica triloba Chaix.	перелеска трехлопастная 	пралеска трыпадзельная 
Heracleum L.	борщевик	баршчэўнік
Heracleum Spondylium L.	борщевик сибирский	баршчэўнік звычайны 
Herniaria Tourn.	грыжник	гладун 
Herniaria glabra L.	грыжник голый	гладун гладкі 
Herniaria hirsuta L.		гладун жорсткі 
Herniaria incana Lan		гладун сівы 
Hesperis L		вячорніца 
Hesperis matronalis L	ночная фиалка	вячорніца звычайная 
Hieracium L.	ястребинка	ястрабок 
Hieracium boreale Fr.	ястребинка северная	ястрабок паўночны 
Hieracium Pilosella L.	ястребинка волосистая	ястрабок калматы 
Hieracium pratense Tausch.	ястребинка луговая	ястрабок лугавы 
Hieracium silvaticum L.	ястребинка лесная	ястрабок лесавы 
Hieracium umbellatum L.	ястребинка зонтичная	ястрабок парасонавы 
Hierochloa	лядник	зуброўка 
Hierochloa odorata Wahlb.	лядник пахучий	зуброўка пахучая 
Hippuris L.	хвостник	пярыльцы 
Hippuris vulgaris L.	хвостник обыкновенный	пярыльцы звычайныя 
Holcus L.	бухарник	смарганец 
Holcus lanatus L.	бухарник шерстистый	смарганец воўністы 
Holcus mollis L.	бухарник мягкий	смарганец мяккі 
Hordeum.	ячмень	ячмень 
Hordeum distichum L.	ячмень двурядный	ячмень двухрадковы 
Hordeum hexastichum L.	ячмень шестирядный	ячмень шасьцёхрадковы 
Hordeum vulgare L.	ячмень обыкновенный 	ячмень звычайны 
Hottonia L.	турча	вадаперыца 
Hottonia palustris L.	турча болотная	вадаперыца балотная 
Humulus L.	хмель	хмель 
Humulus Lupulus L.	хмель вьющийся	хмель звычайны 
Hydrocharis L.	водокрас	жабнік 
Hydrocharis Morsus ranae L.	водокрас лягушечный	жабнік звычайны 
Hydrocharitaceae	водокрасовые	жабнікавыя 
Hyoscyamus Tourn.	белена	блёкат 
Hyoscyamus niger L.	белена черная	блёкат чорны 
Hypericum L.	зверобой	сьвятаяньнік 
Hypericum montanum L. 	зверобой горный 	сьвятаяньнік горскі 
Hypericum perforatum L.	зверобой обыкновенный 	сьвятаяньнік дзіркаваты 
Hypericum quadrangulum L.	зверобой четырехгранный	сьвятаяньнік чатырохбочны 
Hypericum hirsutum L.	зверобой волосистый	сьвятаяньнік валасісты 
Hypochoeris L.		жоўтакруг 
Hypochoeris glabra L.		жоўтакруг гладкі 
Hypochoeris maculata L.		жоўтакруг плямісты 
Hypochoeris radicata L.		жоўтакруг жорсткі 
Hyssopus L.	иссоп	гісоп 
Hyssopus officinalis L.	иссоп лекарственный	гісоп лекавы 
Jasione L.	букашник	вобмарак 
Jasione montana L.	букашник горный	вобмарак звычайны 
Impatiens L.	недотрога	пстрыкаўка 
Impatiens balsamina.		пстрыкаўка бальзаміна 
Impatiens noli tangere L.	недотрога желтая	пстрыкаўка жоўтая 
Inula L.	девясил	дзівасіл 
Inula britannica L.	девясил британский	дзівасіл брытанскі 
Inula Helenium L.	девясил высокий	дзівасіл звычайны 
Inula hirta L.	девясил шершавый	дзівасіл жорсткі 
Inula salicina L.	девясил иволистный	дзівасіл вербалісты 
Iridaceae	касатиковые	касачовыя 
Iris L.	касатик	касач 
Iris germanica L.	касатик германский	касач нямецкі 
Iris Pceudacorus L. 	касатик водяной	касач жоўты 
Iris sibirica L.	касатик сибирский	касач сібірскі 
Juncaceae	ситниковые	сітовыя 
Juncus L.	ситник	сіт 
Juncus bufonius L.	ситник лягушечный 	сіт двохпадзельны 
Juncus compressus Jacq.	ситник сплюснутый	сіт сьціснуты 
Juncus conglomeratus L.	ситник скученный	сіт купкаваты 
Juncus effusus L.	ситник развесистый	сіт разложысты 
Juncus glaucus Ehrh.	ситник сероватый	сіт сінявы 
Juncus lamprocarpus Еhrh.	ситник блестящий	сіт бліскучанасенны 
Juncus acutiflorus Ehrh.		сіт лесавы 
Juniperus L.	можжевельник	ялавец 
Juniperus communis L.	можжевельник обыкновенный	ялавец звычайны 
Knautia L.	короставник	паўночнік 
Knautia arvensis Coult.	короставник полевой	паўночнік звычайны 
Koeleria Pers.	тонконог	кэлерыя 
Labiatae.	губоцветные	губаткі 
Lactuca L.	молокан	салата 
Lactuca sativa L.	латук-салат	салата агародная 
Lactuca scariola L.	салат дикий	салата дзікая 
Lactuca virosa L.		салата атрутная 
Lamium L.	яснотка	яснотка 
Lamium album L.	глухая крапива	яснотка белая 
Lamium galcobdolon Crtz.		яснотка жоўтая 
Lamium maculatum L.	яснотка крапчатая	яснотка плямістая 
Lamium purpureum.	яснотка пурпуровая 	яснотка чырвоная 
Lampsana Tourn	бородавник	рудзянец 
Lampsana communis L.	бородавник обыкновенный	рудзянец звычайны 
Larix Тоurn.	лиственница	мадрына 
Larix europaea DC.	лиственница европейская	мадрына эўропэйская 
Larix polonica Racib.		мадрына польская 
Lathraea L.		таемнік 
Lathraea Squammaria L.	петров крест	таемнік лускаваты 
Lathyrus L.	чина	гарошак 
Lathyrus palustris L.	чина болотная	гарошак балотны 
Lathyrus pratensis L.	чина луговая	гарошак лугавы 
Lathyrus sativus L.	угловой горох 	
Lathyrus silvester L.	чина лесная	гарошак лесавы 
Lavandula L.		лявэнда 
Lavandula officinalis Chaix.		лявэнда лекавая 
Ledum L.	багульник	багун 
Ledum palustre L.	багульник болотный	багун балотны 
Leguminosae.	мотыльковые	струкавыя 
Lemna L.	ряска	раска 
Lemnaceae.	рясковые	раскавыя 
Leontodon L.	кульбаба	лаганец 
Leontodon antumnalis L.	кульбаба осенняя	лаганец асеньні 
Leontodon hispidus L.	кульбаба копьелистная	лаганец дзідалісьцёвы 
Leonurus L.	пустырник	сардэчнік 
Leonurus Cardiaca L.	пустырник сердечный	сардэчнік звычайны 
Leonurus Marrubiastrum L.	пустырник шандровый	сардэчнік шантавы 
Lepidium L.	перечник	клапоўнік 
Lepidium ruderale L.	клоповник	клапоўнік звычайны 
Lepidium campestre R. Br.	перечник полевой	клапоўнік палявы 
Levisticum Koch.	зоря	любіста 
Levisticum officinale Koch.	зоря лекарственная	любіста лекавая 
Liliaceae	лилейные	лялейныя 
Lilium L.	лилия	лялея 
Lilium Martagon L.	царские кудри	лялея гаёвая 
Linaceae.	льновые	лёнавыя 
Linaria Juss.	льнянка	зарніца 
Linaria vulgaris Mill.	дикий лён	зарніца звычайная 
Linnaea Gron.	линнея	ліннэя 
Linnaea borealis Gron.	линнея северная	ліннэя паўночная 
Linum L.	лен	лён 
Linum usitatissimum L.	лен обыкновенный	лён сеўны 
Linum catharticum L.	лен слабительный	лён лугавы 
Linum flavum L.	лен желтый	лён жоўты 
Linum perenne L.	лен многолетний	лён трывалы 
Lolium L.	плевел	жыцік 
Lolium italicum.	итальянский райграсс	жыцік італійскі 
Lolium perenne L.	английский райграсс	жыцік трывалы 
Lolium temulentum L.	плевел опьяняющий	жыцік дурманавы 
Lotus L.	ледвянец	рутвіца 
Lotus corniculatus L.	ледвянец рогатый	рутвіца звычайная 
Lotus uliginosus Sch.		рутвіца балотная 
Lupinus L	лупин	лубін 
Lupinus albus L.	лупин белый	лубін белы 
Lupinus angustifolius L.	лупин синий	лубін вузкалісты 
Lupinus luteus L.	лупин желтый	лубін жоўты 
Lupinus perennis L.	лупин многолетний	лубін трывалы 
Luzula DC.	ожика	сітніца 
Luzula campestris DC.	ожика полевая	сітніца палявая 
Luzula pilosa Willd.	ожика волосистая	сітніца валасістая 
Lychnis L.	горицвет	сьветнік 
Lychnis Flos cuculi L.	кукушкин цвет 	сьветнік зязюлькавы 
Lychnis pratensis Spreng.	горицвет луговой	сьветнік лугавы 
Lychnis silvestris Hoppe.	горицвет лесной	сьветнік лесавы 
Lycopodiaceae.	плауновые	вілаковыя 
Lycopodium L.	плаун	вілак 
Lycopodium clavatum L.	плаун булавовидный	вілак дзераза 
Lycopodium complanatum L.	плаун сплюснутый	вілак сьціснуты 
Lycopsis L.	кривоцвет	крывацьвет 
Lycopsis arvensis L.	кривоцвет пашенный	крывацьвет ральлявы 
Lysimachia L.	вербейник	лазоўка 
Lysimachia Nummularia L.	луговой чай	лазоўка сьцялуха 
Lysimachia thyrsiflora L.		лазоўка паўзучая 
Lysimachia vulgaris L.	вербейник обыкновенный	лазоўка звычайная 
Lythraceae Juss.	дербениковые	чальчаковыя 
Lythrum L.	дербеник	чальчак 
Lythrum Salicaria L.	плакун	чальчак звычайны 
Majanthemum Web.	майник	майнік 
Majanthemum bifolium DC.	майник двулистный	майнік двухлісьцёвы 
Majorana Moench	майоран	маяран 
Majorana hortensis Moench.		маяран агародны 
Malva L.	просвирник	мальва 
Malva Alcea L	просвирник раздельнолистный 	мальва падзельналісьцёвая 
Malva neglecta Wallr.	просвирник обыкновенный	мальва звычайная 
Malva rotundifolia L.	просвирник круглолистный	мальва круглалісьцёвая 
Malva silvestris L.	просвирник дикий	мальва лесавая 
Marrubium L	шандра	шанта 
Marrubium vulgare L.	шандра обыкновенная	шанта звычайная 
Matricaria L.	ромашка	рамонак 
Matricaria Chamomilla L.	ромашка дикая	рамонак праўдзівы 
Matricaria discoidea DC.	ромашка пахучая	рамонак усходні 
Matricaria inodora	ромашка непахучая	рамонак непахучы 
Medicago L	медунка	люцэрна 
Medicago falcata L.	медунка серповидная	люцэрна серпаватая 
Medicago lupulina L.	медунка хмелевая	люцэрна хмелевая 
Medicago media L.	медунка средняя	люцэрна сярэдняя 
Medicago sativa L.	люцерна	люцэрна сеўная 
Melampyrum L.	марьянник	братаўка 
Melampyrum arvense L.	марьянник полевой	братаўка палявая 
Melampyrum cristatum L.	петуший гребешок	братаўка грэбнікавая 
Melampyrum nemorosum L.	Иван да Марья	братаўка гаёвая 
Melampyrum pratense L.	марьянник луговой	братаўка лугавая 
Melampyrum silvaticum L.	марьянник лесной	братаўка лесавая 
Mеlіса L.	перловник	пэрлаўка 
Mеlіса nutans L.	перловник поникший	пэрлаўка зьвіслая 
Melilotus Juss.	донник	баркун 
Melilotus albus Desr.	донник белый	баркун белы 
Melilotus officinalis Desr.	донник лекарственный	баркун лекавы 
Melilotus caeruleus Desr.	донник голубой	баркун блакітны 
Melissa L.		мяліса 
Melissa officinalis L.		мяліса лекавая 
Melittis		мядоўнік 
Melittis Mellissophyllum L.		мядоўнік звычайны
Mentha L.	мята	мята 
Mentha aquatica L.	мята водяная	мята вадзяная 
Mentha arvensis L.	мята полевая	мята палявая 
Mentha silvestris L.	мята дикая	мята лесавая 
Mentha piperita L.	мята перечная	мята пярцовая 
Menyanthes L.	вахта	бабок 
Menyanthes trifoliata L.	вахта трилистная	бабок трылісьцёвы 
Mercurialis L.	пролеска	сіневароць 
Mercurialis perennis L.	пролеска многолетняя	сіневароць трывалы 
Milium L.	бор	прасянік 
Milium effusum L.	бор развесистый	прасянік разложысты 
Monocotyledoneae	однодольные	адналісьценевыя 
Monotropa		сьліўшаня 
Monotropa Hypopitys L.	подъельник многоцветковый 	сьліўшаня многакветная
Monotropaceao	вертляницевые	сьліўшанёвыя 
Morus L.	шелковица	морва 
Morus alba L.		морва белая 
Morus nigra L.		морва чорная 
Myosotis L.	незабудка	незабудка 
Myosotis arenaria Sch.	незабудка песчаная	незабудка пескавая 
Myosotis caespitosa Sch.	незабудка дернистая	незабудка дзярновая
