##Title: Расейска-беларускі (тэхнічная тэрміналёгія)
##HTMLDescription_BEGIN
<div>
	<p>крыніца невядомая (часткова)</p>
</div>
<div>
	<p class="spoiler">Выкарыстаная літаратура</p>
	<p>а. Для выбаркі рускага тэксту.</p>
	<p>Крыніцы ў рускай мове:</p>
	<p> </p>
	<p>1. Агинский Л. Н. – Трактор Фордзон-Путиловец (Ф. П.) Москва−Ленинград. 1930 г.  </p>
	<p>2. Гавриленко А. проф. – Паровые котлы. Вып. 1 Москва−Ленинград. 1924 г.</p>
	<p>3. Гамбье и Аме − Практический курс авиации. Москва−Ленинград. 1926 г. </p>
	<p>4. Hütte – Справочная книга для инженеров, архитекторов, механиков и студентов, ч. ІІ, Берлин. 1926 г.</p>
	<p>5. Дуббель Г. проф. − Двигатели внутреннего сгорания. Вып. ІІІ. Одесса. 1927 г.</p>
	<p>6. Дуббель Г. проф. – Паровые машины и паровые турбины. Вып. III. Ленинград. 1926 г.</p>
	<p>7. Егорченко В. Ф., Кестнер Е. Г., Манцев Н. И., Миколаев М. М., Пузанов М. П., Сыромятников С. П. − Паровоз, т. І, ІІ. Москва. 1929 г.</p>
	<p>8. Зейлігер М. инж. − Двигатель Дизель повышенной мощности. Москва. 1927 г.</p>
	<p>9. Кузнецов Н. Г. инж. – Курс автомобилизма. 1916 г.</p>
	<p>10. Лобач-Жученко Б. М. проф. − Школа пароходного механика и машиниста. Москва. 1929 г.</p>
	<p>11. Наумов В. С. – Паровые турбины. Ленинград. 1926 г.</p>
	<p>12. Протопопов В. П. инж. – Паровые машины. Термодинамика и теория паровых машин. Москва. 1927 г.</p>
	<p>13. Шломан А. и др. − Иллюстрированный технический словарь на шести языках, т. ІІІ, IV. С.-Петербург. 1908 г.</p>
	<p>14. Шретер В. Н. проф. − Паровые котлы в тепловых расчетах и цифрах. Ленинград. 1925 г.</p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be

##ScanPageURL: 'http://knihi.com/none/Bielaruskaja_navukovaja_terminolohija_BNT_pdf.zip.html#bnt27.pdf_'+page
##Page:  1
автомат	аўтамат
автоматизация	аўтаматызацыя
авто-мотор	аўтаматор
агломерация	аглёмэрацыя
адсорбция	адсорбцыя
азотированная сталь	азотаваная сталь
анализ	аналіз
анод	анод
атомноводородная сварка	атамнавадародная зварка
бездоменный процесс	бяздоменны працэс
бергинизация	бэргінізацыя
бериллий	бэрылій
беспроволочность	бяздротавасьць
биметалл	бімэтал
блюминг	блюмінг
боксит	боксыт
брак	брак
брикетирование	брыкэтаваньне
будка	будка
бункер	бункер
буровой	сьвідравы
быстрорежущий	быстрарэжучы
варочный котел	варыльны кацёл
введение	уводзіны
ввод	увод
возгонка	узгонка
возгорание	узгараньне
воздействие	узьдзейства
вольтава дуга	вольтава дуга
вольтаж	вальтаж
##Page:  2
восстановление	аднаўленьне
выдла	выдла
выработка	вырабка, выпрацоўка
вырезка	выразка
высоковольтный	высокавольтны
высокочистотный	высокачыстотны
вычерпывание	вычэрпваньне
газонаполнение	газанапаўненьне
газотроп	газатроп
газофикация	газафікацыя
гальванометр	гальванамэтр
гальванопластика	гальванаплястыка
генерация	гэнэрацыя
генерировать	гэнэрыраваць
гетерогонный	гэтэрогонны
гидрогенизация	гідрогэнізацыя
гидродинамический	гідрадынамічны
гидростанция	гідрастанцыя
гидроэлектрический	гідраэлектрычны
графік	графік
гремучий газ	грымучы газ
групповой привод	групавы прывод
губчатое железо	губчастае жалеза
двигательный механизм	рухоўны мэханізм
дегазация	дэгазацыя
дезоксидация	дэзаксыдацыя
декалин	дэкалін
динамичность	дынамічнасьць
диспетчер	дыспэтчар
допуск	допуск
доступ	доступ
дробимость	драбімасьць
дробление	драбленьне, драбненьне
дуговая сварка	дугавая зварка
дюйм	цаля
желоб	жолаб
##Page:  3
заволочный	завалочны
заготовительный стан	загатоўчы стан
загрузочный механизм	загрузачны мэханізм
загрузка	загрузка
заклепочный шов	заклёпачнае шво
затвердение	зацьвярдзеньне
защитный слой	абаронны пласт, абаронны слой
известняк	вапняк
изделие	выраб
изобретательство	вынаходніцтва, вынаходзтва
изобретение	вынаходка
изолятор	ізалятар
индивидуальный мотор	індывідуальны матор
инструментальная сталь	інструмантальная сталь
ион	іон
ионный преобразователь	іонны пераўтворнік
исходный материал	выходны матэрыял, зыходны матэрыял
кабинка	кабінка
кавпер	каўпэр
кадмирование	кадміраваньне
камерный метод	камэрны мэтад
карбид	карбід
кардинация(координация)	кардынацыя
катод	катод
катодный ток	катодны ток
катушечный мотор	шпулькавы матор
кислота	кіслата
кислотность	кіслотнасьць
кислотоупорный	кіслататрывалы
клавиатура	клявіятура
клепка	кляпаньне
клепка(предмет)	клёпка
кобальт	кобальт
ковка	каваньне
колебание	ваганьне, хістаньне
колчедан	кальчадан
кольцевание	кальцаваньне
комбайн	камбайн
комбинат	камбінат
##Page:  4
комбинирование	камбінаваньне
комплекс	комплекс
конвеер	канвэер
конвееризация	конвэерызацыя
конвертор	канвэртар
конденсация	кандэнсацыя
конструировать	канструяваць
конструктор	канструктар
контрольный счет	кантрольны падлік, кантрольны рахунак
контур	контур
кооперирование частей	каапэраваньне частак
корбирунд	карбірунд
коррозия	карозія
корунд	карунд
коэффициент полезного действия	коэфіцыэнт карыснага дзейства
крекинг	крэкінг
кремний	крэмній
криолит	крыяліт
критическое давление	крытычны ціск
круговорот	кругаварот
легирование	легіраваньне
легированная сталь	легіраваная сталь
лемеш	лемеш, лемех
ленточка (сигнальная)	істужка (сыгнальная)
лигнин	лігнін
лифт	ліфт
марганец	марганец
мартинирование	мартыніраваньне
машиностроение	машынабудаўніцтва
медистая сталь	мядзістая сталь
металлография	мэталёграфія
металлургический	мэталюргічны
металлургия	мэталюргія
метрополитен	мэтрапалітэн
механизация	мэханізацыя
механизм перадаточный	мэханізм перадатачны
мешалка	мяшалка
микрофотография	мікрафотаграфія
миниатюрный	мініятурны
многомоторный	многаматорны
##Page:  5
многофазный	многафазны
молекула	малекула
молибден	малібдэн
монтер	манцёр
нагретые пары	нагрэтая пара
наплавка	наплаўка, налітоўка
наполнитель	напаўняльнік
нарез	нарэз
недостижимость	недасягальнасьць, недасяжнасьць
незаменимость	незаменнасьць
нефелин	нэфэлін
номенклатура	намэнклятура
обезвоживание торфа	абезвадненьне торфу
обжимный стан	абціскны стан
облагораживание руды	адабрароджваньне руды
оборудование	абсталяваньне
обработка	апрацоўка
обслуживание	абслугоўваньне
овладение (техникой)	аўладаньне
огарок	агарак
огнеупорный кирпич	агнятрывалая цэгла
ограничение	абмежаваньне
окись	вокіс
оксидация	аксыдацыя
операция	апэрацыя
освоение	асваеньне
оснащение	аснашчэньне
отбой	адбой
отбойный молоток	адбойны малаток
ответственная деталь	адказная дэталь
отток	адток
отход	адход
паропроизводящий цех	паравытворчы цэх
паста	паста
пек	пэк
передельный чугун	пераробны чугун
##Page:  6
переплавка	пераплаўка, пераплаўленьне
перешихтовка	перашыхтоўка
плавка	плаўка, плаўленьне
пластик	плястык
пластический	плястычны
пневматический	пнэўматычны
поверхностная корка	павярхоўная кара
погон	пагон
погрузочный	пагрузачны
подъемник	падымальнік
портативный	партатыўны
превращение	ператварэньне
преобразование	пераўтварэньне
препарат	прэпарат
пресс	прэс
приварка	прыварка
присадка	прысадка
продольная сварка	прадоўжная зварка
продукция	прадукцыя, выраб
производство	вытворства, вытварчасьць
прокат	пракат
прокатный стан	пракатны стан
пронизывание	пранізваньне
пропитка	прапойваньне
протравливание	пратручваньне
профиль	профіль
процесс труда	працэс працы
прочность	моцнасьць, трываласьць
пылеватые руды	пылаватыя руды
рабочая машина	рабочая машына
радиация	радыяцыя
разжижение	разраджэньне
разлом	разлом
размолка	размолваньне
рафинированный металл	рафінаваны мэтал
рафинировка	рафінаваньне, рафініроўка
реакция	рэакцыя
редуцировать	рэдуцыраваць, рэдукаваць
резервуар	рэзэрвуар
реконструкция	рэканструкцыя
рекорд	рэкорд
рекордный	рэкордны
рекуперационный	рэкупэрацыйны
##Page:  7
реле	рэле
рельеф	рэльеф
рельса	рэйка
рентгенирование металла	рэнтгенаваньне мэтала
рентгеновское исследование	рэнтгенаўскі досьлед
репродукция	рэпрадукцыя
решетка цепная	рашотка ланцужная
рывок	рывок
ртутнопаровой	іртутнапаравы, жывасрэбна-паравы
рубка	рубка
рудная мелочь	рудная дробязь
самочерпалка	самачарпалка
сапропелит	сапрапэліт
сверло	сьвідар, сьвердзел
сверхтвердый	звышцьвёрды
сернистость	серкаватасьць, серчастасьць
сигнал	сыгнал
силикозоль	сыліказоль
силиций	сыліцый
синтез	сынтэз
синтезирование	сынтэзаваньне
синтетический	сынтэтычны
синтол	сынтол
сооружение (действие)	пабудова
сооружение (здание)	будыніна
сопротивляемость	супраціўляльнасьць
сортировка	сартаваньне
специализация	спэцыялізацыя
сплав	сплаў
сплоточный (механизм)	сплаточны
стандарт	стандарт
стандартизация	стандартызацыя
стволка	стволка
стирание металла	сьціраньне мэтала
стойкость	стойкасьць, трываласьць
стоккер	штокэр
структура	структура
структурное состояние	структурны стан
сульфат	сульфат
сухое тушение	сухое тушэньне
сферасплав	сфэрасплаў
сырье	сыравіна
##Page:  8
тепловой	цеплавы
теплосиловой	цёпласілавы
теплостойкость	цеплатрываласьць
теплотехника	цеплатэхніка
теплофикация	цеплафікацыя
термос	тэрмас
тетралин	тэтралін
технология	тэхналёгія
типовой	тыпавы
тиратроп	тыратроп
