##Title: Слоўнік сельска-гаспадарчае тэрмінолёгіі (праект) (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Слоўнік сельска-гаспадарчае тэрмінолёгіі (праект)</b>. Менск: Інбелкульт, 1928.</p>
</div>
<div>
	<p class="spoiler">Ад Інстытуту Навуковае Мовы</p>
	<p>Пры апрацоўцы навуковай сельска-гаспадарчай тэрмінолёгіі прыходзіцца лічыцца з шмат якімі асаблівасьцямі і труднасьцямі. Ува ўсіх мовах у гэтай галіне яшчэ не закончылася тэрмінолёгічная творчасьць і часта аўтары ў сваіх працах падаюць новыя тэрміны, або ўзятыя з народных дыялектаў, або сумысьля прыдуманыя для больш дакладнага азначэньня тых ці іншых паняцьцяў. Ёсьць ужо даволі многа сельска-гаспадарчай літаратуры і на беларускай мове, як популярнай, так і навуковай; укладчыкі гэтае літаратуры мусілі самастойна кожны для сябе ўстанаўляць тэрмінолёгію. Асабліва-ж трэба лічыцца з тымі моўнымі багацьцямі, якія ў гэтай галіне мае народная мова. У беларускага селяніна ў штодзённым ужываньні ёсьць шмат сельска-гаспадарчых тэрмінаў, якія складаюць аснову і найбольш рознастайную частку яго слоўніка.  Багацьце гэтага слоўнага матар’ялу яшчэ павялічваецца, дзякуючы мясцовым адменам, якіх тут асабліва многа і якія часта вельмі далёка адыходзяць адна ад аднае.  </p>
	<p>Усе гэтыя ўмовы спрыялі-б устанаўленьню беларускай навуковай сельска-гаспадарчай тэрмінолёгіі, каб увесь памянёны слоўны матар‘ял быў сабраны і вывучаны. Гэтага, на жаль, яшчэ няма і ня так хутка можа быць. Тым часам бягучая праца аграномаў, настаўнікаў сельска-гаспадарчых школ і іншых працаўнікоў сельскай гаспадаркі, якія ў сваёй рабоце павінны перайсьці на беларускую мову, патрабуе безадкладнага выданьня слоўніка сельска-гаспадарчай тэрмінолёгіі, хаця-б і няпоўнай і не канчаткова ўстаноўленай. 3 гэтай прычыны былая Сельска-Гаспадарчая Сэкцыя Інстытуту Беларускае Культуры ўтварыла асобную тэрмінолёгічную камісію ў складзе аграномаў Я. Грабоўскага, Я. Кісьлякова, М. Лайкова, П. Рагавога і А. Смоліча, якая апрацавала матар‘ялы да слоўніка сельска-гаспадарчай тэрмінолёгіі, перагледжаныя і адобраныя да друку Галоўнай Тэрмінолёгічнай Камісіяй Інстытуту.</p>
	<p>Крыху пазьней пры Навуковым Таварыстве для вывучэньня Беларусі ў Горках, якое зьяўляецца ўстановаю Інстытуту Беларускае Культуры, утварылася некалькі тэрмінолёгічных камісій, якія зьбіраюць і апрацоўваюць матар'ялы па асобных галінах сельска-гаспадарчых навук адпаведна да патрэб выкладаньня гэтых навук у вышэйшай школе.</p>
	<p>Выдаючы тым часам памянёныя матар‘ялы да слоўніка, Інстытут Навуковае Мовы просіць усіх зацікаўленых у існаваньні бездаганнай сельска-гаспадарчай тэрмінолёгіі прысылаць свае ўвагі, дадаткі і папраўкі.</p>
	<p> </p>
	<p>26.ІV.28 г.</p>
	<p>Інстытут Навуковае Мовы.</p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be

абсолютный вес семян	шру´бавая
аграрный	агра´рны 
агрикультурные мероприятия	агрыкульту´рныя мерапрые´мствы 
агроном	аграно´м 
агрономическая лаборатория	аграномі´чная лябораторыя 
агрономический	аграномі´чны 
агрономия	аграно´мія 
акация белая	ака´цыя бе´лая 
альбумин	белкаві´на, альбумі´на 
амбар	клець, сьві´ран 
аппробатор	апраба´тар 
арбуз	каву´н 
аренда	арэ´нда, пасэ´сія 
аренда молочного стада	пакт 
арендатор	аранда´тар, пасэ´сар 
арендатор молочного стада	па´ктар 
арендатор при делении снопами	сно´пшчык 
арендование	арандава´ньне 
арендовать	арандава´ць 
бабка (для клепанья косы)	ба´бка 
бабка или путо (у лошади на ноге)	ба´бка, цы´рка 
бабка снопов	мэ´тлік, ба´бка 
бадья	чоп 
базар	торг, ры´нак 
баклажан	баклажа´н 
бактериальное удобрение	бактэрыя´льнае ўгнае´ньне 
балка (в постройке)	ба´лька, бэ´лька 
балка (заросший овраг)	лог, роў 
барабан (в молотилке)	бараба´н 
барак	бара´к 
барашек	бара´нчык 
барда	бра´га 
барщина	па´ншчына
батрак	па´рабак 
батрацкий посев	ато´рыца 
батрачка	на´ймічка, парабча´нка 
безазотистые экстрактивные вещества	безазо´тныя экстракты´ўныя матэ´рыі 
безводный овраг	сухі´ роў 
бездождие	бяздо´жджыца 
бездорожье	бездаро´жжа, бе´здараж 
безземелье	безьзяме´льле 
безземельный	безьзяме´льны 
белая ржавчина	бе´лая іржа´ 
белковина	белкаві´на 
белок	бяло´к 
белок семени	бяло´к се´мя 
белоус (Nardus)	сіве´ц 
белый клевер	бе´лая канюшы´на 
бельмо	бяльмо´ 
бесплодная земля	бяспло´дная зямля´ 
бесплодные бастарды	няпло´дныя баста´рды 
бесплодный	няпло´дны 
бесполое размножение	бяспло´цьцевае размнажэ´ньне 
бивни (у свиньи)	клыкі´
било (цепа)	біч, бічу´к 
бичевка	шпага´т
бланжевый (масть лошади)	палавы´ 
блеск	бляск 
бобы	струкі´
болезнь	хваро´ба 
болотный сенокос	сенажа´ць бало´тная 
болото	бало´та 
болото моховое	імша´рыстае бало´та 
болото поросшее ольхой	алё´с, ку´дра 
болото топкое	ба´гна 
болтень, болт (рыбачья принадлежность)	бо´ўтка, боўт 
болтень (яйцо)	баўту´н 
болтушка (корм для скота)	калату´ха, бо´ўтанка, баўту´ха 
бор	бор 
боров	парсю´к 
боровок	парсючо´к 
боровой песок	баравы´ пясо´к 
борозда	баразна´ 
борозда водосточная	рышто´к 
бороздка	баразё´нка 
борона дисковая	барана´ ра´ндаль, тале´ркавая 
борона Лакке	барана´ Ля´кке 
борона легкая	барана´ лё´гкая 
борона луговая	барана´ сенажа´тная 
борона норвежская	барана´ нарвэ´ская 
борона простая	барана´ про´стая 
борона пружинная	cпружыно´ўка, драпа´ч, драпа´к 
борона сложная	барана´ склада´ная 
борона тяжелая	барана´ цяжка´я 
борона членистая	барана´ суста´ўная 
боронование	баранава´ньне; скарадзьба´
боронование озими	баранава´ньне ру´ні 
боронование в первые следы (чаще в длину)	лама´ньне во´рыва або´ ральлі´
ботаническая зрелость	ботані´чная сьпе´ласьць 
ботва	наць, наці´ньне 
ботва картофельная	бульбо´ўнік, картапля´нік 
ботва свекловичная	бацьві´ньне 
бочка	бо´чка 
бревно	бервяно´
бричка	бры´чка, вазо´к 
бросовые земли	кідо´мыя зе´млі 
брюква	бру´чка 
брюхо поджарое, отвислое	чэ´рава хударля´вае, бру´ха паджа´рыстае 
буланая лошадь	була´ны конь 
бурав	сьве´рдзел, сьві´дар
буравчик	cьвярдзё´лак 
бурое сено	бу´рае се´на 
бурт, бунт	капе´ц 
бык	буга´й, бык 
быстрота прорастания	шы´бкасьць прараста´ньня 
бэконная фабрика	бэ´конная фа´брыка 
бэконный откорм	бэ´конны вы´карм 
вал (земляной)	вал, на´сып 
вал (в машине)	вал 
валёк (для двух лошадей)	стальва´га 
валёк (для пристяжки лошади)	во´рчык 
валовой доход	агуло´вы дахо´д, агуло´вы прыбы´так 
валух	ва´лух 
валяльные изделия	ва´леныя вы´рабы 
валяльщик	валю´шнік 
варка сыров	гато´ўля сы´ру 
вегетативный	вэгетацы´йны 
вегетационный опыт	вэгетацы´йны до´сьлед 
вегетационный период	вэгетацы´йны пэры´ёд 
венчик	вяно´чак 
вереск	ве´раск 
верхний волос	ве´рхні во´лас 
верховая езда 	язда´ вярхо´м 
вес	вага´ 
весенняя вспашка	веснаво´е ара´ньне, -а´я во´рка 
весы десятичные	ва´гі 
весы коромысловые	ша´лі 
ветвление	галінава´ньне 
ветвь	галі´на 
ветеринар	вэтэрына´р 
ветеринария	вэтэрына´рыя 
веха	ты´чка, ві´тка 
веялка ручная	ве´ялка ручна´я 
веялка-сортировка	а´рфа 
веянье машинное	арфава´ньне 
веять на машине	арфава´ць 
взмет	ара´ньне пе´ршае 
вика	ві´ка 
виковая смесь	ві´кавая ме´шанка 
вилок	кача´н 
вилы	ві´лкі 
вилы навозные деревянные	сахо´р, ві´лы 
винокуренный завод	бро´вар сьпіры´тусны 
вкус молока	смак малака´ 
влага	ві´льгаць 
влажность	вільго´тнасьць 
внутренности	вантро´бы 
внутриселенное землеустройство	унутрасе´льнае зямляўпарадкава´ньне 
внутрихозяйственные условия	унутрагаспада´рчыя ўмо´вы 
водопад	вадаспа´д 
водопроницаемость	вадапрапушча´льнасьць 
водоскат	вадасьцё´к
водосточные борозды	водасьце´чныя баро´зны 
водоудерживательная способность	вадаўтрыма´льная здо´льнасьць 
водянистое молоко	вадзяні´стае малако´
водянистый	вадзяні´сты 
возделываемый слой	вырабны´ пласт 
возделывание земли	вырабле´ньне зямлі´ 
возделывание растений	культу´ра расьлі´н 
возраст	век, узро´ст 
волокно	валакно´
волокуша	валаку´ша 
волос	во´лас 
воронка (посуда)	ле´йка 
вороной	вараны´ 
ворох	ку´ча 
ворсильная шишка	во´рсавая шы´шка 
в развал (пахота)	у ро´скідку 
вредитель	шко´днік 
вредные примеси	шко´дныя до´мешкі 
время посева	час сяўбы´ 
вспахать	узара´ць 
вспахивание	узо´рваньне 
вспахивать	узо´рваць 
вспашка	ара´ньне 
вспашка в развал	ара´ньне ў ро´скідку 
вспашка в свал	ара´ньне ў скла´д 
вспашка глубокая	ара´ньне глыбо´кае 
вспашка мелкая	ара´ньне ме´лкае 
вспашка на „зябь"	ара´ньне на´ зіму, зябле´ньне 
вспашка предпосевная	ме´шань 
вспашка средняя	ара´ньне сярэ´дняе 
всходить	усхо´дзіць 
всходы	усхо´ды 
всходы озимых	усхо´ды азі´міны 
всходы ровные	усхо´ды ро´ўныя 
всхожесть	усхо´днасьць, абхо´днасьць 
второстепенный продукт	другара´дны праду´кт 
выбивание ветром	выбіва´ньне ве´трам 
выбитая телегой яма на дороге	калдо´біна, калдо´ба 
выбраковка	бракава´ньне 
выводка конская	вы´вадка ко´няй 
выгон	вы´ган 
выгребная яма	гнаё´вая я´ма 
выделение (из семьи)	вы´дзел 
выделение молока	выдзяле´ньне малака´ 
выдергивание	вырыва´ньне, выску´бваньне 
выжигание	выпа´льваньне 
выжигание дерна (кудряшей)	выпа´льваньне дзё´рну 
выжимки	аджы´мкі 
выжимки (перетер)	жма´кі, маку´ха 
вызревание (хлебов)	высьпява´ньне 
выкапывать	выко´пваць 
выкармливание, откорм	вы´карм 
вымерзание посевов	вымярза´ньне засе´ваў 
вымокание посевов	вымака´ньне засе´ваў 
вымолот	вы´малат 
вымораживание сорных трав	вымаро´жваньне пустазе´льля 
вымочка	вы´мачка 
вымывание крахмала	вымыва´ньне крухма´лу 
вымя	вы´мя 
выносливость	трыва´ласьць 
выпалывание	выпо´лваньне 
выпаривание	выпа´рваньне 
выпахивание	выво´рваньне 
выпойка	выпо´йваньне 
выпревание посевов	выправа´ньне засе´ваў 
выпрягать	выпрага´ць 
выработка	вы´рабка 
выравнивание	выраўне´ньне 
вырастать	выраста´ць 
выращивание	гадо´ўля 
выращивание молодняка	гадава´ньне маладняка´ 
выращивать	гадава´ць 
вырубка (место после вырубленного леса)	па´сека 
высадки	насе´ньнікі, вы´садкі 
высевать	высява´ць 
выселок	вы´селак 
высиживать	высе´джваць 
высушивание	высу´шваньне 
высыхание	высыха´ньне 
вытягивать	выця´гваць 
вытяжка	вы´цяжка 
выщелачивание	выпало´скваньне 
вязанка луку	пляцё´нка, вяно´к цыбу´лі 
вязкость	вя´зкасьць 
газон	газо´н 
газообмен почвы	газапаме´н гле´бы 
галопом	гало´пам, наўска´ч, галё´пам 
гать	грэ´бля, гаць 
гвозди подковные	гуфналі´ 
генеологический	генэалёгі´чны, родаво´дны 
генерация	генэра´цыя 
гессенская муха (гессенский комарик)	гэ´сэнская му´ха 
гипсование	гіпсава´ньне 
глина	глі´на 
глинозем	гліназе´м 
глотание	глыта´ньне 
глубина	глыбіня´
глыба	глы´за, гру´да 
глыбодроб	рубча´сты ва´лец 
гнедой	гняды´ 
гниение (при достатке влаги)	гніе´ньне, гніцьцё´
гниение (при недостатке влаги)	парахне´ньне 
гниль (влажная)	гнільлё´
гниль (сухая)	парахня´ 
гниль картофельная	бульбяна´я гніль 
гноение	гнае´ньне 
голландская порода	галяндэ´рская паро´да 
головка свеклы	гало´ўка бурака´, пя´ціўка 
головня	галаўня´, са´жа 
гололедица	галалё´д 
горбыль (доска)	апо´лак 
горох	гаро´х 
грабельщик	грабе´ц 
грабли	гра´блі 
град	град 
градобитие	градабі´цьце 
граница (хозяйственная)	мяжа´ 
граничащий	суме´жны 
гребень	грэ´бень 
гребешок	грабяне´ц, грабе´нчык 
гребневая пахота	ара´ньне у гра´нкі, гране´ньне 
греча, гречиха	грэ´чка 
гриб	грыб 
гриб древесный	губа´ 
грибница	грыбні´ца 
грива	гры´ва 
грубый корм	грубы´ корм 
груда (камней)	кру´шня 
грунт	грунт 
груша дикая	дзі´кая гру´ша 
груша культурная	садо´вая гру´ша 
гряда	града´, ляха´ 
грядиль (в плуге)	ды´шаль 
гуано	гуа´на 
гулевой (скот)	выпасо´вы 
гумно (постройка)	гумно´ 
гумус	гу´мус, перагно´й 
гусеница	ву´сень 
дамба	да´мба 
дача корма	по´рцыя ко´рму, дава´нка ко´рму 
двоение	мяша´ньне, друе´ньне 
двузернянка	двухзярнё´ўка 
двуколка	двухко´лка 
делянка	дзяля´нка 
деревенский	вяско´вы, дзераве´нскі 
деревня	вё´ска, дзярэ´ўня 
деревцо	дрэ´ўца 
деревья плодовые	пладо´выя дрэ´вы 
деревянная лопатка для точки косы	мянту´шка 
дернина	дзё´ран, дзярно´, дзірва´н 
дерносним	перадплу´жнік 
дерть	кры´шанае зе´рня, дзерць 
десятина	дзесяці´на 
динамика урожаев	дына´міка ўраджа´яў 
динамометр	дынамамэ´тр, сіламе´р 
дифференциация	дыфэрэнцыя´цыя 
дичок	дзі´чка 
дневной удой	дзё´нны ўдой 
днище	дні´шча 
доение	дае´ньне 
дозревание (хлебов)	дасьпява´ньне 
дозревать	дасьпява´ць 
дозрелый	дасьпе´лы 
домашние животные	сво´йская жывё´ла
донце (луковицы)	пя´тка 
дорога проселочная	прасё´лак 
дорога почтовая	шлях, гасьці´нец
дорога грунтовая	грунтава´я даро´га 
древесина	драўні´на 
древесная листва	лісьцё´ дрэў 
древесный уголь	дрывяны´, дрэ´ўны ву´галь 
древко косы	касьсё´, касі´льна 
древоразведение	дрэвагадо´ўля 
дренаж	дрэна´ж 
дренирование	дрэнава´ньне 
дрены	дрэ´ны 
дрены осушительные	асуша´льныя дрэ´ны 
дрены собирательные	зьбіра´льныя дрэ´ны
дресва	жарства´ 
дробина	саладзі´ны 
дробленое зерно	кры´шанае зе´рня 
дробь охотничья	шрот 
дуга	дуга´ 
дыня	ды´ня 
единицы питательной ценности	адзі´нкі пажы´ўнае ва´ртасьці 
жабры	жэ´бры, зя´бры 
жатва	жніво´ 
жатвенная машина	жнівя´рка 
жвачка	жу´йка, жава´йка 
жевание	жва´ньне, жава´ньне 
желвак (на затылке у лошади)	жаўла´к 
желтая или восковая зрелость	жо´ўтая або´ васкава´я сьпе´ласьць 
желудок	кіньдзю´к, стра´ўнік 
жердь (для увязывания воза)	рубе´ль 
жердь (огор. и сад.)	жэ´рдка 
жеребение	жарабе´ньне 
жеребенок	жарабя´ 
жеребец	жарабе´ц 
жеребиться	жарабі´цца 
жеребость	жаро´бнасьць 
жернова (ручные)	жо´рны 
живой вес	жыва´я вага´ 
животновод	жывёлагадо´вец 
животноводство	жывёлагадо´ўля 
животное	жывё´ла 
животное домашнее	сво´йская жывё´ла 
животные вредные	шко´дныя жывё´лы
жир	тлу´стасьць, тлушч 
жир с брюшины и кишек	здор, лой 
жирномолочность	тлустамало´чнасьць 
жировые шарики	тлу´шчавыя га´лкі 
жмыхи	маку´ха 
жнейка	жнівя´рка 
жнивье	жні´вішча 
жнивье овсяное	аўся´нішча 
жнивье ржаное	аржо´ньне, іржы´шча 
жнивье ячменное	жні´вішча я´чнае 
жница	жняя´ 
жолуди(жёлуди)	жалуды´ 
журавль (колодезный)	жураве´ль, асьве´р 
жучек(жучок) картофельный	бульбяны´ жучо´к 
заарендовать	заарандава´ць 
заболачивание	забало´чваньне 
забор из жердей	плот 
забор каменный	мурава´ная агаро´жа 
забор щитный	парка´н 
заводская конюшня	заво´дзкая ста´йня 
загнивание	загніва´ньне 
загон (в поле)	заго´н 
загон (для скота)	за´гарадзь 
загародка	за´гарадка 
заготовительная организация	загато´ўчая організа´цыя 
заделка навоза	заво´рваньне гно´ю 
заделка (семян)	запа´хваньне 
задушение сорных трав	задушэ´ньне пустазе´льля 
заказный луг	забаро´нная по´жня, забаро´нная сенажа´ць 
закваска хлебная	заква´ска хле´бная 
закон минимума	зако´н мі´німуму 
закон падающей производительности почвы	зако´н спада´льнае вытво´рчасьці гле´бы 
закром	засе´к 
закром хлебный	засе´к 
залежное хозяйство	абло´жная гаспада´рка 
залежь	абло´га, дзірва´н 
заливной луг	заліўны´ луг, по´плаў 
залужение	запуска´ньне пад сенажа´ць 
заморыш	замо´рак 
занятой пар	заня´ты папа´р 
запаренный корм	па´ранка 
запас труда	запа´с пра´цы 
запах	пах 
запахивать	заво´рваць 
запашка	запа´шка 
заплесневеть (о печеном хлебе)	зацьвісьці´ 
запруда	гаць 
запрягать, запречь	запрага´ць, запрэ´гчы 
запускать корову	запуска´ць каро´ву 
заражение	заражэ´ньне 
зародыш	заро´дак 
зародышный мешок	заро´дкавы мяшок 
заросль	за´расьнік 
засаживать	заса´джваць 
засевать	засява´ць 
заслонять	засланя´ць, за´сьціць 
засоренное поле	засьме´чанае по´ле 
засоренность семян	засьме´чанасьць насе´ньня 
заступ	рыдлё´ўка, жалязьня´к 
засуха	сухме´нь, суш 
затенение	зацяне´ньне, за´сьценьне 
затопление (наводнение)	затапле´ньне 
затрата труда	затра´та пра´цы 
зауздать (лошадь)	закялза´ць (каня´) 
захват	захва´т 
зацветать, зацвести	зацьвіта´ць, зацьві´сьці´, закрасава´ць 
зацепка (предмет)	за´чапка 
защита растений	ахо´ва расьлі´н 
защитные насаждения	ахо´ўныя расьлі´ны 
зеленое удобрение	зялё´нае ўгнае´ньне 
зеленый пар	зялё´ны папа´р 
зелень	зеляні´на 
зелень (краска)	зялё´нка (фа´рба) 
земельная рента	зяме´льная рэ´нта 
земельный	зяме´льны 
землевладелец	зямляўла´сьнік 
землевладение	зямляўлада´ньне 
земледелец	зямляро´б, ро´льнік 
земледелие	зямляро´бства, ро´льні´цтва 
земледельческий	зямляро´бскі, ро´льніцкі 
земледельческие машины	зямляро´бныя, ро´льніцкія машы´ны 
землеизмерительный	геадэзы´чны, зямляме´рчы 
землекоп	граба´р 
землемер	камо´рнік 
землемерие	камо´рніцтва 
землемерный	камо´рніцкі 
землеобеспеченность	зямлязабясьпе´чанасьць 
землепашец	ро´льнік 
землепользование	зямлякарыста´ньне 
землеустройство	зямляўпара´дкаваньне 
землечерпательный	зямлячарпа´льны 
землистый	земляны´ 
землистый цвет	земляны´ ко´лер 
земля	зямля´ 
земляная насыпь	земляны´ на´сып 
земляника	суні´цы 
земля общественная	грама´дзкая зямля´ 
земля пахотная	во´рная зямля´
зерно	зе´рня 
зерно второго сорта	зе´рня-друга´к 
зерновое хозяйство	зярнё´вая гаспада´рка 
зерновые культуры	збо´жжавыя культу´ры 
зерновые хлеба	збо´жжа 
зерноочистительный пункт	збожжаачышча´льны пункт 
зернышко	зярня´тка 
злак	збажы´на 
злаки хлебные	збо´жжа 
змейка (машина)	зьмяё´ўка 
зоб (у птицы)	во´льле, вальлё´
зола	по´пел 
зольное вещество	по´пельная матэ´рыя 
зона	пас, зо´на 
зоогигиена	зоагігіе´на 
зрелость	сьпе´ласьць 
зрелый	сьпе´лы 
зреть	сьпець 
зуб в бороне, зубья	зуб, зубы´ 
зубы постоянные	зубы´ пастая´нныя 
зуд	сьверб, чос 
ива (дерево)	вярба´ 
ива (кустарник)	лаза´ 
ивняк	лазьня´к 
избыток	лі´шак 
избыточное увлажнение	збы´тняя вільго´тнасьць 
