fossa rhomboidea	ромбовидная ямка	ромбава´тая я´міна	
pars inferior fossae rhomboideae	нижняя часть ромбовидной ямки	ні´жняяя ча´стка ромбава´тае я´міны	
calamus scriptorius [208]	писчее перо	піса´льнае пяро´	
pars intermedia fossae rhomboideae	промежуточная часть ромбовидной ямки	праме´жная ча´стка ромбава´тае я´міны	
recessus lateralis fossae rhomboideae	боковой выступ ромбовидной ямки	бакава´я за´вараць ромбава´тае я´міны	
pars superior fossae rhomboideae	верхняя часть ромбовидной ямки	ве´рхняя ча´стка ромбава´тае я´міны	
sulcus limitans fossae  rhomboideae	пограничная борозда ромбовидной ямки	межава´я баразна´ ромбава´тае я´міны	
fovea inferior	нижняя ямка	ні´жняя я´мка	
fovea superior	верхняя ямка	ве´рхняя я´мка	
trigonum nervi hypoglossi	треугольник под‘язычного нерва	трыку´тнік пад‘язы´чнае нэ´рвы	
striae medullares	мозговые полосы	мазго´выя пало´скі	
eminentia medialis	внутреннее возвышение	прысярэ´дняе ўзвы´шша	
colliculus facialis	бугорок лицевого нерва	узго´рачак тва´рнае нэ´рвы	
ala cinerea	серое крыло	папялі´стае крыло´	
area acustica	слуховой кружок	слухавы´ кружо´к	
locus coeruleus	окрашенное место	сінява´тае ме´сца	
tegmen ventriculi quarti	крыша четвертого желудочка	ве´ка чацьвё´ртага страўнічка´	
velum medullare posterius	задний мозговой парус	за´дняя мазго´вая засло´на	
taenia ventriculi quarti	ремешок четвертого желудочка	тасе´мка чацьвё´ртага страўнічка´	
obex	задвижка	за´саўка	
lamina chorioidea epithelialis	эпителиальная сосудистая пластинка	пакры´тнічны варсава´ты пласто´к	
apertura medialis ventriculi quarti s. foramen Magendii	срединное отверстие четвертого желудочка или отверстие Мажанди	прысярэ´дняя атво´рына чацьвё´ртага страўнічка´ альбо´ атво´рына Мажанды´	
apertura lateralis ventriculi quarti	боковое отверстие четвертого желудочка	бакава´я атво´рына чацьвё´ртага страўнічка´	
fastigium	верхушка шатра	вяршо´к	
velum medullare anterius	передний мозговой парус	пярэ´дняя мазго´вая засло´на	
brachia conjunctiva  cerebelli	ножки мозжечка к четверному возвышению	злуча´льныя пле´чы мо´зачкаў	
stratum cinereum fossae rhomboideae	серый слой ромбовидной ямки	папялі´сты пла´ст ромбава´тае я´міны	
sulcus medianus fossae rhomboideae	срединная борозда ромбовидной ямки	сярэ´дзінная баразна´ ромбава´тае я´міны	
recessus lateralis ventriculi quarti	боковой выступ четвертого желудочка	бакава´я за´вараць чацьвё´ртага страўнічка´	
tuberculum acusticum	слуховой бугорок	слухавы´ грудо´к	
metencephalon [209]	задний мозг	за´днія мазгі´	@@
pons (Varolii)	мост (Варолиев)	мост (Варо´лія)	@
sulcus basilaris	основная борозда	спо´давая баразна´	
fasciculus obliquus pontis	косой пучок моста	уко´сны пучо´к  мо´сту	
fila lateralia pontis	боковые нити моста	бакавы´я ні´ткі мо´сту	
brachium pontis	ножки мозжечка к мосту	плячо´ мо´сту	
pars basilaris	основная часть	спо´давая ча´стка	
pars dorsalis	тыльная часть	ты´льная ча´стка	
sectiones pontis	разрезы моста	разрэ´зы мо´сту	@@
pars dorsalis pontis	тыльная  часть моста	ты´льная  ча´стка мо´сту	@
raphe	шов	шво	
nucleus nervi abducentis	ядро отводящего нерва	ядро´ адво´днае нэ´рвы	
nuclei motorii nervi trigemini	двигательные ядра тройничного нерва	ру´хальныя я´дры трайча´стае нэ´рвы	
radix descendens mesencephalica nervi trigemini	нисходящий корешок среднемозговой тройничного нерва	спускны´ ко´рань сярэднямазго´вы трайча´стае нэ´рвы	
tractus spinalis nervi trigemini	спинномозговой путь тройничного нерва	сьпі´ннамазго´вы тракт трайча´стае нэ´рвы	
nucleus tractus spinalis nervi trigemini	ядро спинномозгового пути тройничного нерва	ядро´ сьпі´ннамазго´вага тра´кту трайча´стае нэ´рвы	
nucleus nervi facialis	ядро лицевого нерва	ядро´ тва´рнае нэ´рвы	
radix nervi facialis	корешок лицевого нерва	ко´рань тва´рнае нэ´рвы	
pars prima	первая часть	пе´ршая ча´стка	
