##Title: Тэхнічная тэрміналёгія
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Тэхнічная тэрміналёгія</b>. Менск: Інстытут мовазнаўства, 1932. (выпуск першы)</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Аб’яднаны сакавіцкі пленум ЦК і ЦКК КП(б)Б (1932 г.) у пастанове па пытаньню культурнага будаўніцтва даў дырэктыву „паскорыць выданьне Беларускай тэхнічнай тэрміналёгіі“ … У выкананьне гэтай пастановы Інстытут Мовазнаўства выпушчае пачатковы слоўнік Тэхнічнае тэрміналёгіі, які ахапляе сабою <i>паравыя катлы, паравыя поршневыя машыны, паравыя турбіны і рухавікі ўнутранога згараньня</i>.</p>
	<p>Пры складаньні тэрміналёгічнага слоўніка для гэтага разьдзелу тэхнікі мелася на ўвазе даць суцэльную сыстэму работы паравых і газавых рухавікоў і ўсе тыя гідраўлічныя і электрычныя рухавікі і прылады, якія служаць або дапаможнымі мэханізмамі, або маюць блізкае прыстасаваньне пры пабудове ці рамонце машын.</p>
	<p>Дзеля большае паўнаты і зручнасьці пры карыстаньні ў гэты выпуск Тэхнічнае тэрміналёгіі ўнесена наступнае:</p>
	<p>1. Будаўнічыя матар’ялы.</p>
	<p>2. Дэталі машын.</p>
	<p>3. Будаваньне, рамонт машын.</p>
	<p>4. Кіраваньне машынамі і дагляд іх.</p>
	<p>5. Віды паліва і мазіва.</p>
	<p>6. Мэханічныя, фізычныя, хэмічныя і рабочыя процэсы.</p>
	<p>7. Струмантарыя.</p>
	<p>Тэхніка − шырокая і разнастойная галіна, і, каб яе ахапіць у адным выпуску, для гэтага трэба многа часу і людзей. Між тым соцыялістычнае будаўніцтва, індустрыялізацыя краіны, існаваньне значнай колькасьці ніжэйшых і вышэйшых тэхнічных навучальных устаноў, выданьне значнай колькасьці перакладной і арыгінальнай тэхнічнай літаратуры на беларускай мове вымушае выпусьціць хутчэй гэты, хоць і няпоўны, слоўнік тэхнічнае тэрміналёгіі.</p>
	<p>Распачынаючы першую спробу ў апрацоўцы Тэхнічнае тэрміналёгіі, Ін-т мовазнаўства можа сказаць, што ён не ўсьцярогся недакладнасьцяў у перадачы некаторых беларускіх тэрмінаў на адпаведныя расійскія назвы.</p>
	<p>Але з цягам часу далейшай работай Ін-т Мовазнаўства пры дапамозе рабочых і тэхнічнага персаналу з фабрык і заводаў БССР, а таксама пралетарскага студэнцтва і шырокіх колаў савецкай грамадзкасьці, гэтую працу будзе ўдасканальваць і выпраўляць, тым больш, што за паасобнымі выпускамі тэрміналёгіі з розных адгаліненьняў тэхнікі будзе выданы агульны тэхнічны слоўнік.</p>
	<p>Вялікую дапамогу ў апрацоўцы гэтага выпуску ўжо зрабілі рабочыя і тэхнічны пэрсанал прадпрыемстваў БССР, надаслаўшы адказы на нашую анкету. Трэба спадзявацца, што і ў далейшай тэрміналёгічнай рабоце мы сустрэнем належнае падтрыманьне ў зьбіраньні і надсыланыіі тэрміналёгічнага матар‘ялу з галіны тэхнікі.</p>
	<p>Слоўнік тэхнічнае тэрміналёгіі ўкладзены навуковым працаўніком Ін-ту Мовазнаўства А. Гурло.</p>
	<p>Канчатковая рэдакцыя зроблена П. Бузуком, Я. Мацюкевічам і П. Юргілевічам.</p>
	<p> </p>
	<p><i>Інстытут мовазнаўства.</i></p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be

абсолютная влажность	абсалю´тная вільго´тнасьць 
абсолютная мощность	абсалю´тная магу´тнасьць 
абсолютная производительность	абсалю´тная прадукцы´йнасьць 
абсолютная работа	абсалю´тная рабо´та 
абсолютная скорость	абсалю´тная ско´расьць 
абсолютная температура	абсалю´тная тэмпэрату´ра 
абсолютная теплотворная способность	абсалю´тная цеплатво´рная здо´льнасьць 
абсолютное давление	абсалю´тны ціск 
абсолютное движение	абсалю´тны рух 
абсолютное содержание золы	абсалю´тная ко´лкасьць по´пелу 
