##Title: Слоўнік лясных тэрмінаў (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Музычныя тэрміны</b>. Менск: Інбелкульт, 1926.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Пры складаньні слоўніку лясных тэрмінаў мелі на ўвазе дапамагчы лясным спэцыялістым пры пераходзе іх на беларускую мову, з прычыны чаго ў слоўніку сабраны тэрміны, якія ўжываюцца як у васобных галінах лясное навукі, так і ў канцэлярыі лясьніцтва.</p>
	<p>Слоўнік складаецца з дзьвюх частак: першая – гэта расійска-беларускі слоўнік; другая − альфабэтны сьпіс беларускіх тэрмінаў.</p>
	<p>Слоўнік складзены Тэрмінолёгічнай Камісіяй Лясное Падсэкцыі Інстытуту Беларускае Культуры, у якой працавалі члены Падсэкцыі <i>Язэп Троська, Якуб Шамоль, Амбр. Хацяновіч, Ч. Бялюнас і П. Санько</i>. Большасць тэрмінаў узята з проекту лясной тэрмінолёгіі, які быў зложаны Яз. Троськам, прыняты Камісіяй за аснову. Канчальная рэдакцыя слоўніку зацьверджана Правапісна-Тэрмінолёгічнай Камісіяй Інстытуту Беларускае Культуры.</p>
	<p>З прычыны таго, што пры ўкладаньні гэтага слоўніку нельга было шырака выкарыстаць народныя назовы, слоўнік выдаецца ў дыскусійным парадку.</p>
	<p>Апроч таго, Лясная Падсэкцыя, а таксама Навуковае Таварыства ў Горках па вывучэньні Беларусі, якое працуе на правох сэкцыі Інстытуту Беларускае Культуры, распачалі працу зьбіраньня матар’ялу для поўнай навуковай беларускай лясной тэрмінолёгіі, кіруючыся складзенай для гэтых мэтаў інструкцыяй.</p>
	<p>Падсэкцыя лічыць вельмі патрэбнай далейшую праверку зьмешчаных у слоўніку тэрмінаў, на падставе матар'ялу і народнае мовы і прасіць лясных спэцыялістых сваім удзелам дапамагчы ў зьбіраньні патрэбнага матар’ялу.</p>
	<p> </p>
	<p>Менск, май 1926.</p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be

абрикос — Armeniaca vulgaris lam	абрыкос, морэля
абрис	абрыс, абводак
абсолютная одновозрастность	абсолютная аднаўзроснасьць
абсолютная разновозрастность	абсолютная рознаўзроснасьць
австрийская камеральная такса	аўстрыйская камэральная такса
австрийская сосна — Pinus austriaca hoss	аўстрыйская хвоя
административная единица	адміністрацыйная адзінка
административное деление	адміністрацыйны падзел
администрация лесная	адміністрацыя лясная
азимут истинный	азімут запраўдны
азимут магнитный	азімут магнэсавы
айлант — Ailanthus glandulosa dest	айлянт
академия лесная	акадэмія лясная
акация белая, американская, душистая — Robinia pseudoacacia L.	робінія, белая акацыя
акация желтая, сибирская — Caragana arborescens Lam	карагана, жоўтая акацыя
акклиматизация растений	акліматызацыя расьлін
акт о лесонарушении	акт аб лесапарушэньні
акт свидетельства	акт пасьведчаньня
амбар	сьвіран
анализ ствола	аналіз ствала
анкета	анкета, пытальнік
аноним	анонім, бязіменьнік
аппарат	апарат
арендная плата	арэндная плата, чынш
арест	арышт
артель лесная	арцель лясная
аршинник (сортим.)	аршыновік
ассигновка	асыгноўка
ассистент	асыстэнт
астролябия	астролябія
атаман дубовик (лоцман.)	дубовік
атлас	атляс
аттестат	атэстат
бабочка — Lepidoptera	матыль, мятлік, матылёк
баварские таблицы	баварскія табліцы
багульник — Ledum palustre L.	багун
баклага	біклага
бактерии клубеньковые	корнябародаўкавыя бактэрыі
балка (сортим.)	бэлька, балька
балка бельская круглая	бэлька бельская круглая
балка рыжская	бэлька рыская
балка французская	бэлька француская
барабан для сушки шишек	барабан на сушэньня шышак
барабан сеяльный	барабан для сяўбы
барбарис — Berberis vulgaris	барбарыс
баржа	віціна, бярліна
барка	лайба, дуб
барсук — Meles Taxus Pall.	барсук
бархатное дерево — Philodendron amurensis Rupr.	аксамітнае дрэва
барыш предпринимателя	зыск прадпрыемцы
