##Title: Географічныя й космографічныя тэрміны і назовы нябесных цел (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Географічныя й космографічныя тэрміны і назовы нябесных цел</b>. Менск: Інбелкульт, 1923.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Гэты выпуск «Беларускае навуковае тэрмінолёгіі» зьмяшчае ў сабе географічныя і космографічныя тэрміны і назовы нябесных цел. <i>Апрацаваньне беларускіх географічных тэрмінаў належыць М. В. Азбукіну, а апрацаваньне беларускіх космографічных тэрмінаў і назоваў нябесных цел (космографічнае тэрмінолёгіі і номэнклятуры) − Л. Л. Більдзюкевічу</i>. Увесь гэты матар‘ял разглядаўся на пасяджэньнях Прыродазнаўчага Аддзелу Інстытуту Беларускае Культуры і на пленарных яго сходах.</p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be

аберрация	абэрацыя
абляция	абляцыя
абориген	тубылец
абразия	абразiя
август	жнiвень
Аврора (малая планета)	Аўрора
автономия	самаўрад
Агата (малая планета)	Агата
азимут	азiмут
айсберг	гара лёдавая
акклиматизация	аклiматызацыя
аккумуляция	акумуляцыя, награмаджэньне
аллювий	алювi
Альгениб (в созвездии Пегаса)	Альгенiб
Альдебаран (альфа Тельца)	Альдэбаран, Вока Быка
Алькор	(гл. Наездник)
Альтаир или Атаир (альфа Орла)	Альтаiр
Алтарь (созвездие)	Аўтар
Альцион (эта Тельца)	Альцыон
амплитуда колебаний	размах вiханьняў
Андромеда (созвездие)	Андромэда
андромедиды (поток падающих звезд)	андромэдыды
Анна (малая планета)	Ганна
аномалии термические	аномалi або адхiленьнi цеплавыя
Антарес (альфа Скорпиона)	Антарэс
Антарктида или Антарктика	Паўдзеньне
антиклинали	выгiны, антыклiналi
Антиной (созвездие)	Антыной
антиподы	антыподы
антициклон	антыцыклён
антропогеография	антропогеографiя
апекс (пункт неба, к которому земля приближается в своем беге)	апэкс
апогей	пункт адземны, апогей
апрель	красавiк
апсиды луны	апсiды месяца
Ариадна (малая планета)	Арыядна
Ариель (спутник Урана)	Арыель
Арктида или Арктика	Паўночча
Арктур (альфа Боотеса или Волопаса)	Арктур
артерия водная	артэрыя вадзяная
Арфа Георгия (созвездие)	Арфа Юрыя
архипелаг	архiпэляг, згуртаваньне вастравоў
астероиды	плянэтоiды або плянэты малыя
Астрея (малая планета)	Астрэя
астрогнозия	астрогнозiя
астрономия наблюдательная	астрономiя наглядальная або зорказнаўства наглядальнае
астрономия описательная	астрономiя апiсовая або зорказнаўства апiсовае
астрономия сферическая	астрономiя сфэрычная або зорказнаўства кулiстае
астрономия теоретическая	астрономiя тэорэтычная або зорказнаўства тэорэтычнае
астрономия физическая	астрономiя фiзычная або зорказнаўства фiзычнае
астрофизика	астрофiзыка
астрофотометры	сьветламеры зоркавыя або астрофотомэтры
Атаир	(гл. Альтаир)
атлас	атляс
атмосфера	атмосфэра
атолл	атоль
афелий	афэль
Ахернар (альфа Реки Эридана)	Ахэрнар
Ахиллес (малая планета)	Ахiлес
аэролиты	аэролiты
базис триангуляции	аснова трыкутнiкаваньня, базiс трыангуляцыi
балка	роў
Баллон	(гл. Шар Воздушный)
банка	мялiзна падморская
барисфера	барысфэра
барометр	баромэтр
бархан	(гл. дюна пустынная)
бассейн	вадазбор
бассейн бессточный	вадазбор бясстокавы
Беллатрикс (в созв. Ориона)	Бэлятрыкс
бентос	бэнтос, паўздоньне
берег	бераг
берег внешний	бераг знадворны
берег внутренний	бераг унутраны
берег дискордантный	бераг нязгодны
берег конкордантный	бераг згодны
берег левый	бераг левы
берег нейтральный	бераг нэўтральны
берег правый	бераг правы
берег расчлененный	бераг парэзаны
Бетейгейзе (альфа Ориона)	Бэтэйгейзэ
биогеография	бiогеографiя
